,Unnamed: 0.1,Unnamed: 0,id,region,country,area,latitude,longitude,site_name,basin,formation,unit_designation,type,storage_unit_type,discovery_status,age,publication,project_history,development_plan,containment_summary,assessment_notes,simulation_model,year_of_publication,date_of_assessment,author,site_area_km2,depth,thickness_m,ntg,porosity,permeability_md,brine_salinity,co2_density,well_count,well_density,single_well_discovery_area,pressure_psig,source_of_storage_efficiency_factor,storage_efficiency,pore_compressibility,frac_pressure,pre_injection_pressure,source_of_analogue,assessment,stored_low,stored_mid,stored_high,on_injection_low,on_injection_mid,on_injection_high,approved_for_development_low,approved_for_development_mid,approved_for_development_high,justified_for_development_low,justified_for_development_mid,justified_for_development_high,development_pending_low,development_pending_mid,development_pending_high,development_on_hold_low,development_on_hold_mid,development_on_hold_high,development_not_viable_low,development_not_viable_mid,development_not_viable_high,development_unclarified_low,development_unclarified_mid,development_unclarified_high,inaccessible_subcommercial_low,inaccessible_subcommercial_mid,inaccessible_subcommercial_high,prospect_low,prospect_mid,prospect_high,lead_low,lead_mid,lead_high,sequence_play_low,sequence_play_mid,sequence_play_high,basin_play_low,basin_play_mid,basin_play_high,undiscovered_inaccessible_low,undiscovered_inaccessible_mid,undiscovered_inaccessible_high,total_low,total_mid,total_high,sum_low,sum_mid,sum_high,flowtest,rocktype,project_spec,p50_pore_volume_mmcum,prop_considered_discovered
0,0,0,10001,Oceania,AUS,Northern Territories: Offshore,-12.56861111111111,128.33416666666668,Petrel field area: Cretaceous reservoirs,Bonaparte,Sandpiper Sandstone,Saline Aquifer,Saline,"Open, no identified structural/ stratigraphic confinement",Discovered,Cretaceous,"Australian Government: Geoscience Australia, “Regional assessment of the CO2 storage potential of the Mesozoic succession in the Petrel Sub-basin, Northern Territory, Australia,” 2014.","As part of a regional evaluation of storage potential in the Petrel sub-basin, a small local area dynamic simulation was carried out on an area north of the Petrel gas field.",Representative injection well locations derived from fill-spill modelling. 9 vertical wells on a regular grid with 3km spacing. Maximum injection rate/well: 1.556 Mt/annum. Total injection rate: 5 Mt/annum for 30 years (150 Mt). Injection limited by reservoir thickness and shallow injection depth. Shorter perforation interval than Jurassic reservoirs at same site. Injection volume based on 2009 estimate of Darwin Hub emissions (not a maximum resource estimate). Plume migration over 30 years: 5km. Post-injection migration rate: 12m/year.,"Caprock are the Bathhurst Island Group mudstones/shales (Echuca Shoals, Darwin Formation & Wangarlu Formation). Site of simulation based on fill-spill modeling","Simulation-based resource estimate subtracted from regional Cretaceous reservoirs (volumetric) estimate: see site entry for Regional estimates. No current plans for developments, although Shell and now ENI reviewing area for storage opportunities (2020).",,2014,Cycle 2,SB,1480.0,0,0,85.0,14.7,65,29000,562.0,8.0,0.0054054054054054,200.0,0.0,Simulation,0,0,0,0,Dynamic simulation on local area of regional structural and geological model.,Assessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,150000000.0,0.0,Yes,Clastic,YES,,1.0
1,1,1,10002,Oceania,AUS,Northern Territories: Offshore,-12.5475,128.3361111111111,Petrel field area: Jurassic reservoirs,Bonaparte,Plover & Elang Formations,Saline Aquifer,Saline,"Open, no identified structural/ stratigraphic confinement",Discovered,Jurassic,"Australian Government: Geoscience Australia. 2014. “Regional assessment of the CO2 storage potential of the Mesozoic succession in the Petrel Sub-basin, Northern Territory, Australia.”","As part of a regional evaluation of storage potential in the Petrel sub-basin, a small local area dynamic simulation was carried out on an area north of the Petrel gas field.",Representative injection well locations derived from fill-spill modelling. 9 vertical wells on a regular grid with 3km spacing. Maximum injection rate/well: 1.556 Mt/annum. Total injection rate: 14 Mt/annum for 30 years (420 Mt). Perforated interval: 300m. Injection volume based on 2009 estimate of Darwin Hub emissions (not a maximum resource estimate). Plume migration over 30 years: 5km. Post-injection migration rate: 12m/year.,Caprock is the Upper Frigate Formation. Site of simulation based on fill-spill modeling.,"Simulation-based resource estimate subtracted from regional Jurassic reservoirs (volumetric) estimate: see site entry for Regional estimates. No current plans for developments, although Shell and now ENI reviewing area for storage opportunities (2020).",,2014,Cycle 2,SB,1480.0,0,0,85.0,21,0,29000,600.0,8.0,0.0054054054054054,200.0,0.0,Simulation,0,0,0,0,Dynamic simulation on local area of regional structural and geological model.,Assessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,420000000.0,0.0,Yes,Clastic,YES,,1.0
2,2,2,10003,Oceania,AUS,Northern Territory: Offshore,-13.2275,129.74277777777775,Eastern Petrel Sub-basin: Cretaceous reservoirs,Bonaparte,Sandpiper Sandstone Formation,Saline Aquifer,Saline,"Open, no identified structural/ stratigraphic confinement",Discovered awaiting detailed evaluation,Lower Cretaceous,"Australian Government: Geoscience Australia. 2014. “Regional assessment of the CO2 storage potential of the Mesozoic succession in the Petrel Sub-basin, Northern Territory, Australia.”","Geoscience Australia commissioned by the Australian Government to undertake a series of regional, geological studies to assess the CO2 storage potential of the Australian sedimentary basins, as part of the National Low Emissions Coal Initiative. Detailed geological study developed structural and geological models on the centre and eastern areas of the Petrel sub-basin. ",No development plan for regional resource estimation (dynamic simulation for Petrel field area: see additional site in database).,"Trapping model relies  on residual and dissolution trapping with long migration-assisted storage with long pathways (50-70km). Overlying seal is Bathhurst Island Sequence sediments (Echuca Shoals, Darwin Formation and Wangarlu Formation). Mudstones calculated to have sealing capacity to hold back a CO2 column height of 137-365m. Geomechanical risk (fault re-activation/slippage) is an issue and requires further investigation (limited data available; Stalker et al 2020).","Reservoir characteristics taken from Petrel-1. Porosity is log porosity. Depth calculated from mid-point on the depth map (approx. 1550m) plus half the approximate thickness at the same mid-point location (approx. 660m), from Figure 6.11. Partial discovery (85%) of the reservoir, calculated using the well density (34 wells over AOI of 80 x 100km) in the aquifer (resource estimate adjusted). Risk of double counting with the Bonaparte Basin from the Australian Government (2009) National Infrastructure Plan.",,2014,Cycle 1,EL,8000.0,2200,168.5,0.97,19.7,159,0,0.0,34.0,0.00425,200.0,0.0,Bradshaw et al 2009. Data from static and dynamic models used to constrain inputs (variability evaluated using Monte Carlo model to address uncertainties). Probabilistic effective storage estimate.,0,0,0,0,Derived from static and dynamic models. Inputs evaluated using Monte Carlo model.,Assessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9160.0,0.0,0.0,9160000000.0,0.0,No,Clastic,NO,,0.8500000000000001
3,3,3,10004,Oceania,AUS,Northern Territory: Offshore,-13.2,129.74277777777775,Eastern Petrel Sub-basin: Jurassic reservoirs,Bonaparte,"Plover, Elang and lower Frigate Shale Formations",Saline Aquifer,Saline,"Open, no identified structural/ stratigraphic confinement",Discovered awaiting detailed evaluation,Lower to Mid Jurassic,"Australian Government: Geoscience Australia. 2014. “Regional assessment of the CO2 storage potential of the Mesozoic succession in the Petrel Sub-basin, Northern Territory, Australia.”","Geoscience Australia commissioned by the Australian Government to undertake a series of regional, geological studies to assess the CO2 storage potential of the Australian sedimentary basins, as part of the National Low Emissions Coal Initiative. Detailed geological study developed structural and geological models on the centre and eastern areas of the Petrel sub-basin. ",No development plan for regional resource estimation (dynamic simulation for Petrel field area: see additional site in database). ,Trapping model relies  on residual and dissolution trapping with long migration-assisted storage with long pathways (50-70km). Overlying seal is Upper Frigate Shale. Upper parts of caprock have reduced seal capacity (transitions into Sandpiper Sandstone) but lower shale is mud-rick and fissile (from cuttings data). Geomechanical risk (fault re-activation/slippage) is an issue and requires further investigation (limited data available; Stalker et al 2020).,"Reservoir characteristics taken from Petrel-1. Porosity is log porosity. Depth taken from the mid-point in Figure 4.7b. Partial discovery (13%) of the reservoir, calculated using the well density in the aquifer. Risk of double counting with the Bonaparte Basin from the Australian Government (2009) National Infrastructure Plan.",,2014,Cycle 1,EL,8000.0,2430,370.6,0.9,16.9,65,0,0.0,34.0,0.00425,200.0,0.0,Bradshaw et al 2009. Data from static and dynamic models used to constrain inputs (variability evaluated using Monte Carlo model to address uncertainties). Probabilistic effective storage estimate.,0,0,0,0,Derived from static and dynamic models. Inputs evaluated using Monte Carlo model.,Assessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6060.0,0.0,0.0,6060000000.0,0.0,No,Clastic,NO,,0.8500000000000001
4,4,4,10005,Oceania,AUS,Offshore,-40.11888888888889,145.64888888888888,Bass,Bass,,Saline Aquifer,Saline,Unspecified,Undiscovered,,Australian Government. 2009. “National Carbon Mapping and Infrastructure Plan.”,"The Australian Government established the Carbon Storage Taskforce in October 2008 to bring together key industry sectors with an interest and expertise in CCS, including coal, power and government, to establish the National Carbon Mapping and Infrastructure Plan (referenced report). The plan aims to map both the potential storage capacity and carbon sources in Australia to accelerate industrial CCS development. No specific CCS project is defined for this evaluation.  This is a 2009 vintage basin wide evaluation.",None available. ,"The basin was screened for suitable reservoir and containment attributes, but none are presented in the source report.","With no development plan, detailed evaluation or well count, this estimation can only be considered for characterisation in the Basin Play category.  The quantification of storage resource was computed on a probabilistic basis.  The evaluation presented is now over 10 years old and should be refined with more up to date detailed evaluations.",,2009,Cycle 1,AJ,0.0,0,0,0.0,0,0,0,0.0,0.0,,200.0,0.0,US DOE studies,4,0,0,0,"E, the storage efficiency factor – a single number of 4% was assumed for E in the montages. The storage efficiency factor is the fraction of the total pore volume that will be occupied by CO2. This value is not well known, and it may vary considerably depending on geology. Estimates for saline aquifers tend to be in the range of 0.5% to 4%40, which is almost an order of magnitude of uncertainty. In the estimations of storage capacity that follow, both an efficiency factor of 4% and an efficiency factor of 0.5% have been used.",Assessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12700.0,19100.0,26100.0,0.0,0.0,0.0,12700.0,19100.0,26100.0,12700.0,19100000000.0,26100.0,No,Carbonate,NO,,
5,5,5,10006,Oceania,AUS,Offshore,-14.147777777777778,128.54194444444445,Bonaparte Basin,Bonaparte,,Saline Aquifer,Saline,Unspecified,Undiscovered,,Australian Government. 2009. “National Carbon Mapping and Infrastructure Plan.”,"The Australian Government established the Carbon Storage Taskforce in October 2008 to bring together key industry sectors with an interest and expertise in CCS, including coal, power and government, to establish the National Carbon Mapping and Infrastructure Plan (referenced report). The plan aims to map both the potential storage capacity and carbon sources in Australia to accelerate industrial CCS development. No specific CCS project is defined for this evaluation.  This is a 2009 vintage basin wide evaluation.",None available. ,"The basin was screened for suitable reservoir and containment attributes, but none are presented in the source report.","With no development plan, detailed evaluation or well count, this estimation can only be considered for characterisation in the Basin Play category.  The quantification of storage resource was computed on a probabilistic basis.  The evaluation presented is now over 10 years old and should be refined with more up to date detailed evaluations.",,2009,Cycle 1,AJ,0.0,0,0,0.0,0,0,0,0.0,0.0,,200.0,0.0,US DOE studies,4,0,0,0,"E, the storage efficiency factor – a single number of 4% was assumed for E in the montages. The storage efficiency factor is the fraction of the total pore volume that will be occupied by CO2. This value is not well known, and it may vary considerably depending on geology. Estimates for saline aquifers tend to be in the range of 0.5% to 4%40, which is almost an order of magnitude of uncertainty. In the estimations of storage capacity that follow, both an efficiency factor of 4% and an efficiency factor of 0.5% have been used.",Assessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32200.0,55300.0,88000.0,0.0,0.0,0.0,32200.0,55300.0,88000.0,32200.0,55300000000.0,88000.0,No,Carbonate,NO,,
6,6,6,10007,Oceania,AUS,Offshore,-15.307777777777778,120.35027777777778,Browse Basin,Browse,,Saline Aquifer,Saline,Unspecified,Undiscovered,,Australian Government. 2009. “National Carbon Mapping and Infrastructure Plan.”,"The Australian Government established the Carbon Storage Taskforce in October 2008 to bring together key industry sectors with an interest and expertise in CCS, including coal, power and government, to establish the National Carbon Mapping and Infrastructure Plan (referenced report). The plan aims to map both the potential storage capacity and carbon sources in Australia to accelerate industrial CCS development. No specific CCS project is defined for this evaluation.  This is a 2009 vintage basin wide evaluation. A follow-up study (Rollet et al. 2016) provides a detailed geological review of Browse Basin and concludes (from qualitative CRS mapping) that only 'moderately suitable' Cretaceous plays are present for storage. Upper Campanian Caswell Fan (site entry, this database) modelled to hold 100Mt resource.",None available. ,"The basin was screened for suitable reservoir and containment attributes, but none are presented in the source report.","With no development plan, detailed evaluation or well count, this estimation can only be considered for characterisation in the Basin Play category.  The quantification of storage resource was computed on a probabilistic basis.  The evaluation presented is now over 10 years old and should be refined with more up to date detailed evaluations. Resource estimate adjusted for Caswell Fan Sequence Play site (100Mt).",,2009,Cycle 1,AJ,0.0,0,0,0.0,0,0,0,0.0,0.0,,200.0,0.0,US DOE studies,4,0,0,0,"E, the storage efficiency factor – a single number of 4% was assumed for E in the montages. The storage efficiency factor is the fraction of the total pore volume that will be occupied by CO2. This value is not well known, and it may vary considerably depending on geology. Estimates for saline aquifers tend to be in the range of 0.5% to 4%40, which is almost an order of magnitude of uncertainty. In the estimations of storage capacity that follow, both an efficiency factor of 4% and an efficiency factor of 0.5% have been used.",Assessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,11200.0,16300.0,0.0,0.0,0.0,7000.0,11200.0,16300.0,7000.0,11200000000.0,16300.0,No,Carbonate,NO,,
7,7,7,10008,Oceania,AUS,Offshore,-18.33833333333333,131.02,Canning Offshore,Canning,,Saline Aquifer,Saline,Unspecified,Undiscovered,,Australian Government. 2009. “National Carbon Mapping and Infrastructure Plan.”,"The Australian Government established the Carbon Storage Taskforce in October 2008 to bring together key industry sectors with an interest and expertise in CCS, including coal, power and government, to establish the National Carbon Mapping and Infrastructure Plan (referenced report). The plan aims to map both the potential storage capacity and carbon sources in Australia to accelerate industrial CCS development. No specific CCS project is defined for this evaluation.  This is a 2009 vintage basin wide evaluation.",None available. ,"The basin was screened for suitable reservoir and containment attributes, but none are presented in the source report.","With no development plan, detailed evaluation or well count, this estimation can only be considered for characterisation in the Basin Play category.  The quantification of storage resource was computed on a probabilistic basis.  The evaluation presented is now over 10 years old and should be refined with more up to date detailed evaluations.",,2009,Cycle 1,AJ,0.0,0,0,0.0,0,0,0,0.0,0.0,,200.0,0.0,US DOE studies,4,0,0,0,"E, the storage efficiency factor – a single number of 4% was assumed for E in the montages. The storage efficiency factor is the fraction of the total pore volume that will be occupied by CO2. This value is not well known, and it may vary considerably depending on geology. Estimates for saline aquifers tend to be in the range of 0.5% to 4%40, which is almost an order of magnitude of uncertainty. In the estimations of storage capacity that follow, both an efficiency factor of 4% and an efficiency factor of 0.5% have been used.",Assessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23500.0,37700.0,56000.0,0.0,0.0,0.0,23500.0,37700.0,56000.0,23500.0,37700000000.0,56000.0,No,Carbonate,NO,,
8,8,8,10009,Oceania,AUS,Offshore,-20.451944444444443,113.06527777777778,Carnarvon North,North Carnarvon,,Saline Aquifer,Saline,Unspecified,Undiscovered,,Australian Government. 2009. “National Carbon Mapping and Infrastructure Plan.”,"The Australian Government established the Carbon Storage Taskforce in October 2008 to bring together key industry sectors with an interest and expertise in CCS, including coal, power and government, to establish the National Carbon Mapping and Infrastructure Plan (referenced report). The plan aims to map both the potential storage capacity and carbon sources in Australia to accelerate industrial CCS development. No specific CCS project is defined for this evaluation.  This is a 2009 vintage basin wide evaluation.",None available. ,"The basin was screened for suitable reservoir and containment attributes, but none are presented in the source report.","With no development plan, detailed evaluation or well count, this estimation can only be considered for characterisation in the Basin Play category.  The quantification of storage resource was computed on a probabilistic basis.  The evaluation presented is now over 10 years old and should be refined with more up to date detailed evaluations.",,2009,Cycle 1,AJ,0.0,0,0,0.0,0,0,0,0.0,0.0,,200.0,0.0,US DOE studies,4,0,0,0,"E, the storage efficiency factor – a single number of 4% was assumed for E in the montages. The storage efficiency factor is the fraction of the total pore volume that will be occupied by CO2. This value is not well known, and it may vary considerably depending on geology. Estimates for saline aquifers tend to be in the range of 0.5% to 4%40, which is almost an order of magnitude of uncertainty. In the estimations of storage capacity that follow, both an efficiency factor of 4% and an efficiency factor of 0.5% have been used.",Assessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25500.0,48500.0,89300.0,0.0,0.0,0.0,25500.0,48500.0,89300.0,25500.0,48500000000.0,89300.0,No,Carbonate,NO,,
9,9,9,10010,Oceania,AUS,Offshore,-24.91444444444444,112.43611111111112,Carnarvon South,South Carnarvon,,Saline Aquifer,Saline,Unspecified,Undiscovered,,Australian Government. 2009. “National Carbon Mapping and Infrastructure Plan.”,"The Australian Government established the Carbon Storage Taskforce in October 2008 to bring together key industry sectors with an interest and expertise in CCS, including coal, power and government, to establish the National Carbon Mapping and Infrastructure Plan (referenced report). The plan aims to map both the potential storage capacity and carbon sources in Australia to accelerate industrial CCS development. No specific CCS project is defined for this evaluation.  This is a 2009 vintage basin wide evaluation.",None available. ,"The basin was screened for suitable reservoir and containment attributes, but none are presented in the source report.","With no development plan, detailed evaluation or well count, this estimation can only be considered for characterisation in the Basin Play category.  The quantification of storage resource was computed on a probabilistic basis.  The evaluation presented is now over 10 years old and should be refined with more up to date detailed evaluations.",,2009,Cycle 1,AJ,0.0,0,0,0.0,0,0,0,0.0,0.0,,200.0,0.0,US DOE studies,4,0,0,0,"E, the storage efficiency factor – a single number of 4% was assumed for E in the montages. The storage efficiency factor is the fraction of the total pore volume that will be occupied by CO2. This value is not well known, and it may vary considerably depending on geology. Estimates for saline aquifers tend to be in the range of 0.5% to 4%40, which is almost an order of magnitude of uncertainty. In the estimations of storage capacity that follow, both an efficiency factor of 4% and an efficiency factor of 0.5% have been used.",Assessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11100.0,22800.0,40100.0,0.0,0.0,0.0,11100.0,22800.0,40100.0,11100.0,22800000000.0,40100.0,No,Carbonate,NO,,
