source_id,sink_id,co2_transported,cluster_lab,cluster_lat,cluster_lon
447843,Atmosphere,15155000.0,,,
25450642,Atmosphere,13890000.0,,,
25451328,10063,11566800.0,3.0,-38.22992337506099,146.50638784513944
448783,Atmosphere,8820400.0,,,
449710,10063,7536200.0,3.0,-38.22992337506099,146.50638784513944
25450244,Atmosphere,7484400.0,,,
447453,Atmosphere,7446400.0,,,
447456,Atmosphere,7438300.0,,,
25450561,Atmosphere,7038400.0,,,
447762,Atmosphere,6930300.0,,,
25450608,10063,5341600.0,3.0,-38.22992337506099,146.50638784513944
25452738,Atmosphere,4620200.0,,,
25452723,Atmosphere,3937800.0,,,
25452187,Atmosphere,2974400.0,,,
25452991,Atmosphere,2336400.0,,,
25453551,10066,2151400.0,,,
25452183,10066,1837700.0,,,
25453669,Atmosphere,1007100.0,,,
25450666,10017,953860.0,6.0,-34.61569166725262,138.55616798800526
25453589,Atmosphere,923660.0,,,
447847,Atmosphere,916490.0,,,
449699,10066,896250.0,,,
25454624,10028,820700.0,,,
449388,Atmosphere,813070.0,,,
450208,Atmosphere,810780.0,,,
25454799,Atmosphere,784530.0,,,
717512,Atmosphere,150000.0,,,
717512,Atmosphere,615080.0,,,
25454798,Atmosphere,721960.0,,,
450725,Atmosphere,706330.0,,,
450842,10066,665100.0,,,
25452181,Atmosphere,612050.0,,,
451303,Atmosphere,566380.0,,,
451828,Atmosphere,547580.0,,,
451072,10056,537650.0,,,
25451591,10056,481290.0,5.0,-27.124815366003922,151.46721837483398
448761,Atmosphere,467920.0,,,
718131,Atmosphere,459030.0,,,
25453118,Atmosphere,433990.0,,,
25453334,10066,431230.0,,,
25453085,10063,417300.0,,,
453081,Atmosphere,415340.0,,,
447380,Atmosphere,367090.0,,,
450987,Atmosphere,365580.0,,,
25454893,Atmosphere,339420.0,,,
25454212,Atmosphere,319950.0,,,
25453227,Atmosphere,306860.0,,,
25454432,10017,293510.0,6.0,-34.61569166725262,138.55616798800526
449123,Atmosphere,288340.0,,,
25451223,Atmosphere,286970.0,,,
25455898,10066,283180.0,,,
449259,Atmosphere,281200.0,,,
453092,Atmosphere,278230.0,,,
450248,10017,271260.0,6.0,-34.61569166725262,138.55616798800526
452075,Atmosphere,267170.0,,,
450426,Atmosphere,260780.0,,,
449555,Atmosphere,248380.0,,,
451022,Atmosphere,247600.0,,,
25454664,Atmosphere,227870.0,,,
447862,Atmosphere,219900.0,,,
25455838,10017,214210.0,6.0,-34.61569166725262,138.55616798800526
25453228,Atmosphere,208660.0,,,
452104,Atmosphere,203220.0,,,
448819,10017,203170.0,6.0,-34.61569166725262,138.55616798800526
25454426,Atmosphere,182210.0,,,
25457296,Atmosphere,178850.0,,,
25451651,Atmosphere,176660.0,,,
25453662,Atmosphere,175560.0,,,
449968,10017,169900.0,6.0,-34.61569166725262,138.55616798800526
25454667,Atmosphere,166930.0,,,
25452188,10036,157320.0,,,
25451001,Atmosphere,155000.0,,,
452487,Atmosphere,150810.0,,,
25451527,Atmosphere,146060.0,,,
25453444,Atmosphere,144780.0,,,
447807,Atmosphere,134030.0,,,
25453371,Atmosphere,131270.0,,,
25452960,10064,127980.0,,,
25452138,Atmosphere,127040.0,,,
25454255,Atmosphere,126460.0,,,
25451652,Atmosphere,125197.0,,,
25450663,Atmosphere,125197.0,,,
25454813,Atmosphere,120242.0,,,
25452809,Atmosphere,111282.0,,,
25452493,Atmosphere,107543.0,,,
25451440,Atmosphere,106847.0,,,
25450878,Atmosphere,102796.0,,,
25450665,10017,87637.0,,,
451227,Atmosphere,87637.0,,,
25454259,Atmosphere,85450.0,,,
25451564,Atmosphere,85442.0,,,
25455135,Atmosphere,83462.0,,,
25451568,Atmosphere,79134.0,,,
25452674,Atmosphere,75512.0,,,
448072,Atmosphere,75115.0,,,
25450664,Atmosphere,69551.0,,,
452414,Atmosphere,57635.0,,,
25453142,Atmosphere,55915.0,,,
25452649,Atmosphere,55642.0,,,
25452186,Atmosphere,54444.0,,,
25452898,Atmosphere,53082.0,,,
25453143,Atmosphere,44511.0,,,
450892,Atmosphere,44335.0,,,
25450645,Atmosphere,44335.0,,,
25450643,Atmosphere,44335.0,,,
25452492,Atmosphere,41730.0,,,
25454666,Atmosphere,40790.0,,,
25455268,Atmosphere,40425.0,,,
447845,Atmosphere,39016.0,,,
25450916,10063,35196.0,,,
25452560,Atmosphere,34497.0,,,
25451566,Atmosphere,32010.0,,,
25451569,Atmosphere,31920.0,,,
25450877,Atmosphere,30463.0,,,
25450243,Atmosphere,30149.0,,,
25452491,Atmosphere,27633.0,,,
25454491,10017,26779.0,6.0,-34.61569166725262,138.55616798800526
25453443,Atmosphere,26600.0,,,
25453521,Atmosphere,25676.0,,,
25454665,Atmosphere,24829.0,,,
25453522,Atmosphere,23650.0,,,
25452618,Atmosphere,22952.0,,,
25451567,Atmosphere,22586.0,,,
25450305,Atmosphere,20448.0,,,
25453741,Atmosphere,20262.0,,,
25452185,10065,18444.0,,,
714825,10017,17805.0,6.0,-34.61569166725262,138.55616798800526
25453825,Atmosphere,17805.0,,,
25453701,Atmosphere,17471.0,,,
25453113,Atmosphere,15961.0,,,
25451570,Atmosphere,15903.0,,,
25450876,Atmosphere,15302.0,,,
25453355,Atmosphere,15289.0,,,
25454016,Atmosphere,13994.0,,,
25452184,Atmosphere,12636.0,,,
25452182,Atmosphere,12334.5,,,
