source_id,sink_id,co2_transported,cluster_lab,cluster_lat,cluster_lon
4402949,10918,5009400.0,,,
25452769,10918,2387400.0,,,
4402950,10918,1500300.0,,,
25451491,Atmosphere,1416740.0,,,
25451497,10917,522730.0,,,
25451493,10918,394970.0,,,
25451496,10922,359550.0,1.0,42.62787148437505,23.169132421875034
448689,10913,334200.0,,,
25452642,10918,165770.0,,,
4402955,10913,161170.0,,,
451555,10922,122471.0,,,
448696,10922,96830.0,1.0,42.62787148437505,23.169132421875034
451182,10922,57563.0,1.0,42.62787148437505,23.169132421875034
25453847,10915,20627.0,,,
