source_id,sink_id,co2_transported
25453967,10113,5340400.0
25450359,10127,4218400.0
25454310,10113,1771900.0
451961,10113,1725100.0
25453380,Atmosphere,1722800.0
451506,Atmosphere,1673400.0
452795,10128,1505600.0
25450472,10118,1408700.0
452911,10107,1335200.0
449782,10119,1277350.0
452098,10119,1020360.0
449936,10119,1011540.0
450190,10107,305016.0
450190,10119,507154.0
447381,Atmosphere,780150.0
453011,10132,572650.0
450376,10127,562550.0
719795,10119,559130.0
450019,10128,522540.0
25450960,10127,515880.0
451915,Atmosphere,511890.0
25453932,10127,494600.0
449849,10127,482070.0
448077,Atmosphere,451940.0
25452964,10125,447510.0
25454719,10113,374070.0
450224,10127,33471.0
450224,10130,335799.0
25457370,10127,358420.0
451640,10116,332520.0
449861,10113,327170.0
4405346,10118,313530.0
25451649,10131,309350.0
450515,10113,304790.0
447972,10127,300840.0
450051,10132,300370.0
25450473,10107,258130.0
451755,10128,257160.0
450242,10127,249290.0
450252,10127,241030.0
452501,10128,230470.0
448838,10107,227000.0
451404,10113,223260.0
451617,10131,223260.0
452502,10128,197640.0
25453055,10127,192570.0
25452740,10131,184060.0
450536,10125,170450.0
25450157,10107,167440.0
25457367,10107,160560.0
25457369,10127,160560.0
447560,10132,152400.0
450321,10132,146860.0
451098,10132,139320.0
450592,Atmosphere,138410.0
451561,10128,135860.0
4404273,10131,129640.0
450835,10132,127463.0
451556,10132,124697.0
451302,10118,121395.0
451301,10125,118034.0
452286,10130,114253.0
451329,10113,113308.0
4409448,10127,108066.0
451618,10131,107915.0
453019,Atmosphere,104745.0
453100,10116,103853.0
25454023,10131,99820.0
25454717,10118,99753.0
25450467,10127,98439.0
451082,10130,97339.0
25457368,10133,91728.0
25450342,10107,84309.0
25455963,Atmosphere,82850.0
25457371,10128,71196.0
25450356,10132,70483.0
450227,10107,62345.0
25453646,10132,57328.0
25450358,Atmosphere,56184.0
25455595,10127,40871.0
4404216,10119,39624.0
4407408,10131,38792.0
4409447,10132,35612.0
451013,10130,32376.0
449880,10128,32376.0
25454476,10131,27337.0
25454500,10127,20781.0
25453854,10130,20233.0
25452786,Atmosphere,17064.0
25455037,Atmosphere,16068.0
25451374,Atmosphere,15673.0
25453820,Atmosphere,11044.5
25455201,10127,10391.0
25454501,10127,10391.0
25455468,Atmosphere,8093.8
25455038,Atmosphere,8059.9
453015,Atmosphere,2078.1
449121,10127,1699.7
