source_id,sink_id,co2_transported
32437325,Atmosphere,2936031.2
1895314,Atmosphere,1792741.4
32437291,Atmosphere,1679156.3
1895261,Atmosphere,1325374.1
32437303,Atmosphere,1193719.4
32437289,Atmosphere,1139779.8
1895299,Atmosphere,1077006.8
32437302,Atmosphere,1052724.2
32437320,Atmosphere,848196.52
32437327,Atmosphere,838826.35
32437328,Atmosphere,825965.68
1895300,Atmosphere,801708.2
1895242,Atmosphere,751407.57
32437329,Atmosphere,704647.82
32437316,Atmosphere,704428.73
32437295,Atmosphere,665888.89
1895264,Atmosphere,664492.96
32437321,Atmosphere,639791.86
42547387,Atmosphere,611269.66
32437292,Atmosphere,588393.26
32437274,Atmosphere,562945.15
1895256,Atmosphere,558860.35
32437317,Atmosphere,475348.79
32437276,Atmosphere,470348.88
32437308,Atmosphere,461837.9
32437275,Atmosphere,437443.87
42547377,Atmosphere,434068.06
32437324,Atmosphere,422788.69
32437304,Atmosphere,417072.8
32437277,Atmosphere,411013.14
1895273,Atmosphere,403258.55
42545354,Atmosphere,403054.89
32437309,Atmosphere,394199.19
1895270,Atmosphere,391613.52
1895255,Atmosphere,367460.1
32437297,Atmosphere,359441.05
1895307,Atmosphere,346419.73
32437330,Atmosphere,339652.59
32437322,Atmosphere,337239.69
42547358,Atmosphere,285259.18
32437294,Atmosphere,254710.98
1895290,Atmosphere,251227.81
42545395,Atmosphere,249741.19
1895303,Atmosphere,215699.81
32437323,Atmosphere,180309.76
1895301,Atmosphere,167509.34
1895319,Atmosphere,160911.8
42547301,Atmosphere,152281.21
42547263,Atmosphere,146189.97
1895277,Atmosphere,139095.35
42545396,Atmosphere,134763.55
32437310,Atmosphere,119783.4
32437301,Atmosphere,95380.428
32437314,Atmosphere,71035.758
42547334,Atmosphere,60912.486
32437318,Atmosphere,60772.484
42547265,Atmosphere,24364.994
