source_id,sink_id,co2_transported,dijkstra_path
3672990,10217,14287420.0,"['source_3672990', 'source_3673033', 'sink_10217']"
3673046,10202,10825102.0,"['source_3673046', 'source_3673021', 'source_3672982', 'source_3673038', 'sink_10202']"
3673026,10272,4241577.8,"['source_3673026', 'sink_10272']"
3673009,10238,4241577.8,"['source_3673009', 'source_3672973', 'sink_10238']"
3673029,10224,3952986.6,"['source_3673029', 'source_3672991', 'sink_10224']"
3672989,10258,3826349.7,"['source_3672989', 'sink_10258']"
3673030,10234,3040758.9,"['source_3673030', 'source_3673032', 'source_3673016', 'sink_10234']"
3673013,10238,3033844.3,"['source_3673013', 'source_3673025', 'sink_10238']"
3673006,10262,3013752.7,"['source_3673006', 'source_3673011', 'source_3673001', 'sink_10262']"
3673012,10272,3013752.7,"['source_3673012', 'source_3673026', 'sink_10272']"
3673002,10217,3013752.7,"['source_3673002', 'source_3673022', 'source_3672990', 'source_3673033', 'sink_10217']"
3673047,10262,2939400.3,"['source_3673047', 'sink_10262']"
3673036,10217,2635324.4,"['source_3673036', 'source_3673008', 'source_3673033', 'sink_10217']"
3673022,10217,2567270.8,"['source_3673022', 'source_3673002', 'source_3672990', 'source_3673033', 'sink_10217']"
3673004,10229,2455650.3,"['source_3673004', 'source_3673020', 'sink_10229']"
3673020,10231,2277057.6,"['source_3673020', 'source_3673004', 'sink_10231']"
3672994,10242,2129718.5,"['source_3672994', 'sink_10242']"
3673033,10217,2027172.6,"['source_3673033', 'sink_10217']"
3673038,10202,2027172.6,"['source_3673038', 'sink_10202']"
3673041,10262,2027172.6,"['source_3673041', 'sink_10262']"
3672997,10239,2009168.4,"['source_3672997', 'source_3672996', 'sink_10239']"
3673001,10262,1919872.1,"['source_3673001', 'source_3673006', 'source_3673011', 'sink_10262']"
3672975,10242,1879688.7,"['source_3672975', 'sink_10242']"
3673018,10203,1875223.9,"['source_3673018', 'sink_10203']"
3672968,10223,1799322.0,"['source_3672968', 'sink_10223']"
3672993,10222,1785927.5,"['source_3672993', 'sink_10222']"
3673011,10262,1741279.3,"['source_3673011', 'source_3673006', 'source_3673001', 'sink_10262']"
3673037,10236,1723096.7,"['source_3673037', 'source_3672995', 'sink_10236']"
3673031,10245,1621738.1,"['source_3673031', 'source_3672978', 'source_3673034', 'source_3672981', 'sink_10245']"
3672995,10236,1406417.9,"['source_3672995', 'sink_10236']"
3673016,10234,1339445.6,"['source_3673016', 'source_3673019', 'source_3672998', 'sink_10234']"
3672973,10238,1339445.6,"['source_3672973', 'source_3673009', 'sink_10238']"
3673010,10238,1272473.3,"['source_3673010', 'source_3672977', 'sink_10238']"
3673028,10238,1250149.3,"['source_3673028', 'source_3672983', 'sink_10238']"
3673008,10205,1238987.2,"['source_3673008', 'source_3673036', 'source_3672990', 'sink_10205']"
