source_id,sink_id,co2_transported
25451939,10912,10000000.0
25451939,Atmosphere,11059000.0
25452445,10909,10000000.0
25452445,10910,4471000.0
25451940,10912,10000000.0
25451940,Atmosphere,3722000.0
25452444,10909,10000000.0
25452444,Atmosphere,3228000.0
4403955,10909,10000000.0
4403955,10912,112300.0
25451941,Atmosphere,9724000.0
25452447,10909,8725500.0
25450974,10912,8712000.0
25452449,10911,5046900.0
25452451,10909,4262500.0
25450872,10912,3624400.0
25453771,10911,3264800.0
449658,10911,3117600.0
25451691,10912,3082200.0
450821,10912,2988000.0
25453755,10911,2768400.0
4403962,10911,2575500.0
448468,10912,2569500.0
4401664,10912,2397900.0
25451688,10911,2369000.0
450291,10912,2360200.0
25451503,10912,2248600.0
25451272,10074,2203500.0
25450970,10911,2172900.0
25451693,10911,2125200.0
448325,10912,2025400.0
25451271,10911,1974400.0
25450299,10909,1872100.0
25452203,10912,1745500.0
25451291,10911,1728000.0
25451504,10912,1682400.0
25451000,10910,1620500.0
449141,Atmosphere,1606500.0
448070,10912,1545600.0
25451687,10911,1541900.0
25451937,10912,1541500.0
25452170,10912,1481000.0
4403987,10911,1367560.0
448326,10912,1362430.0
448831,10910,1314100.0
25453467,10911,1230390.0
449355,10912,1174100.0
25452165,10911,1172730.0
449860,10912,1150610.0
25450999,10910,1114130.0
448171,10912,1088490.0
25452460,10911,1033700.0
448264,10911,999350.0
25455454,10911,928180.0
450441,10912,866980.0
448162,10912,848190.0
450194,10912,847710.0
449370,Atmosphere,847280.0
450992,10912,840870.0
25455576,10912,815620.0
449358,10912,815440.0
449491,10912,772130.0
449659,10911,738060.0
448065,10909,716230.0
452764,10912,713350.0
4403647,10912,675600.0
449352,10911,661220.0
4404195,10912,614430.0
447506,10909,605420.0
449134,10912,604860.0
4402278,10909,601530.0
715279,10909,595950.0
25455182,10912,586630.0
449353,10912,565180.0
4403640,10911,563670.0
448160,10912,551100.0
448887,10911,529270.0
716140,10911,527520.0
447488,10912,522230.0
25453219,10909,522070.0
25453482,10912,519400.0
448067,10909,516470.0
25451393,10909,506690.0
449363,10911,504830.0
447780,10909,493350.0
716166,Atmosphere,477350.0
25451636,Atmosphere,440530.0
25450277,10912,432150.0
4403651,10074,431410.0
25452619,10909,428920.0
449702,10912,426440.0
447766,10912,424860.0
25451235,10912,424860.0
449514,10909,411880.0
449151,10911,406720.0
25450298,10909,405770.0
448066,10909,392140.0
25451685,10074,383260.0
25452999,10912,379070.0
25452204,10909,371500.0
714983,10912,351740.0
25455835,10074,350410.0
449657,10909,348590.0
449933,10909,346440.0
449650,10909,323600.0
447778,10910,313900.0
447941,10911,313440.0
25452168,10909,312350.0
25452057,10912,309300.0
4403408,10912,308400.0
25452448,10911,308400.0
448789,10912,308360.0
25453331,10909,299900.0
4404393,10912,277160.0
25453474,10912,275300.0
25452456,10909,273750.0
447505,10909,262800.0
449347,10912,261270.0
4402419,Atmosphere,260870.0
449673,Atmosphere,260740.0
449379,10912,259590.0
25453174,10910,259270.0
452430,10909,254900.0
451538,10912,248450.0
25453215,10911,244910.0
25450931,10912,243480.0
4409254,10912,231280.0
449309,10909,227170.0
449303,10909,225120.0
450594,10909,223550.0
452875,10912,223250.0
449375,10074,222640.0
449372,10912,215690.0
449907,10912,215650.0
449371,10911,205330.0
447401,10912,199430.0
4406042,10912,196630.0
25453427,10909,195890.0
25452853,Atmosphere,185910.0
449368,10912,182510.0
25453863,10074,178740.0
447490,10912,178050.0
449671,10911,173390.0
447487,10909,171410.0
25457333,10912,169480.0
451306,10909,165990.0
448593,10909,163410.0
4403416,Atmosphere,162857.0
25451430,10911,161270.0
449359,10912,156950.0
449670,10912,156950.0
449697,10911,156480.0
448704,10910,154970.0
25451690,10912,154190.0
25451392,10909,151750.0
25453272,Atmosphere,149930.0
25454292,10912,147510.0
25452670,10912,146090.0
452218,10912,146020.0
448061,10912,146020.0
25453644,10912,143060.0
449378,10910,136300.0
25453584,Atmosphere,134100.0
449360,10909,130000.0
449310,Atmosphere,124090.0
449816,10912,122537.0
25452417,10912,120063.0
25452145,10912,119954.0
451033,10912,115182.0
25455632,Atmosphere,111738.0
450048,10909,109511.0
