source_id,sink_id,co2_transported,dijkstra_path
0,10909,15576946.0,"['source_0', 'sink_10909']"
1,10911,38831507.0,"['source_1', 'source_8', 'sink_10911']"
2,10912,7816233.0,"['source_2', 'source_7', 'sink_10912']"
3,10911,6928326.0,"['source_3', 'sink_10911']"
4,10909,11563200.0,"['source_4', 'sink_10909']"
5,10909,30674467.0,"['source_5', 'source_4', 'sink_10909']"
6,10912,7367301.0,"['source_6', 'sink_10912']"
7,10912,24331494.0,"['source_7', 'sink_10912']"
8,10911,19587007.0,"['source_8', 'sink_10911']"
9,10911,4666024.0,"['source_9', 'source_3', 'sink_10911']"
