source_id,sink_id,co2_transported,dijkstra_path
1896976,10283,4165910.8,"['source_1896976', 'source_1897097', 'source_1896949', 'source_1897024', 'source_32438546', 'source_1897108', 'source_1897007', 'source_1897127', 'source_1896942', 'source_1896974', 'source_32438593', 'sink_10283']"
1897064,10283,4123868.7,"['source_1897064', 'source_1897023', 'source_1896929', 'source_1896948', 'source_32438540', 'source_1897096', 'sink_10283']"
1897133,10277,3601446.2,"['source_1897133', 'source_1897013', 'source_1897061', 'source_32438515', 'source_1897055', 'sink_10277']"
1896934,10285,3196725.6,"['source_1896934', 'source_1896977', 'source_1897009', 'source_1897046', 'source_1897070', 'source_1897065', 'source_1896918', 'source_1896962', 'sink_10285']"
1896919,10283,2787815.3,"['source_1896919', 'source_1897062', 'source_1897006', 'source_1897020', 'source_1896975', 'source_1897026', 'source_1897099', 'source_42547359', 'source_32438653', 'sink_10283']"
1897122,10284,2715361.0,"['source_1897122', 'source_32438620', 'sink_10284']"
1897059,10283,2669017.8,"['source_1897059', 'source_1897030', 'source_32438517', 'source_32438641', 'source_1897040', 'source_1897007', 'source_32438630', 'source_42547380', 'source_42547359', 'source_32438653', 'sink_10283']"
1896947,10281,2583660.7,"['source_1896947', 'source_1897034', 'source_32438592', 'source_1896924', 'source_1896930', 'sink_10281']"
1897070,10285,2511970.7,"['source_1897070', 'source_1897046', 'source_1897009', 'source_1897011', 'source_32438580', 'source_1896977', 'sink_10285']"
1897066,10277,2447589.1,"['source_1897066', 'source_1896958', 'source_1896959', 'source_1897013', 'source_1897061', 'source_1897132', 'source_1897055', 'sink_10277']"
32438540,10283,2329046.9,"['source_32438540', 'source_32438547', 'source_1896948', 'source_1896929', 'source_32438652', 'source_32438646', 'source_32438555', 'sink_10283']"
1896958,10277,2293421.1,"['source_1896958', 'source_1896959', 'source_1897013', 'source_1897061', 'source_1897132', 'source_1897055', 'sink_10277']"
1897060,10283,2233996.7,"['source_1897060', 'source_1896976', 'source_1897097', 'source_1896949', 'source_1897024', 'source_1897026', 'source_1897108', 'source_1897007', 'source_1897127', 'source_1896942', 'source_1896974', 'source_32438593', 'sink_10283']"
1897061,10277,2179432.3,"['source_1897061', 'source_1897013', 'source_1896959', 'source_1896958', 'source_1897132', 'source_1897055', 'sink_10277']"
32438620,10284,2140857.9,"['source_32438620', 'source_1897122', 'sink_10284']"
32438517,10283,2139017.6,"['source_32438517', 'source_32438641', 'source_1897040', 'source_1897007', 'source_32438630', 'source_42547380', 'source_42547359', 'source_32438653', 'sink_10283']"
1896924,10281,2108687.8,"['source_1896924', 'source_32438592', 'source_1896947', 'source_1897034', 'sink_10281']"
1896923,10281,2057897.0,"['source_1896923', 'source_1896925', 'source_42547376', 'source_1896930', 'source_1896924', 'source_1897071', 'sink_10281']"
1897062,10283,1994999.9,"['source_1897062', 'source_1896919', 'source_1896990', 'source_1897020', 'source_1896975', 'source_1897026', 'source_1897099', 'source_42547359', 'source_32438653', 'sink_10283']"
1896920,10285,1958120.4,"['source_1896920', 'source_42547331', 'source_1896982', 'source_42547435', 'source_1896989', 'source_1897009', 'sink_10285']"
