source_id,sink_id,co2_transported,dijkstra_path
32438773,11043,717273.71,"['source_32438773', 'sink_11043']"
32438780,11054,606085.04,"['source_32438780', 'sink_11054']"
32438762,11042,579550.27,"['source_32438762', 'sink_11042']"
32438783,11048,574706.06,"['source_32438783', 'sink_11048']"
32438772,11055,573626.72,"['source_32438772', 'source_1897257', 'sink_11055']"
1897290,11039,566752.21,"['source_1897290', 'sink_11039']"
32438775,11033,549159.6,"['source_32438775', 'source_1897291', 'sink_11033']"
32438753,11043,539662.67,"['source_32438753', 'source_32438769', 'sink_11043']"
1897286,11040,491663.86,"['source_1897286', 'sink_11040']"
32438758,11033,477377.48,"['source_32438758', 'source_32438781', 'sink_11033']"
1897257,11055,452121.39,"['source_1897257', 'sink_11055']"
32438756,11056,444400.05,"['source_32438756', 'sink_11056']"
1897291,11033,431029.54,"['source_1897291', 'sink_11033']"
32438759,11054,399493.42,"['source_32438759', 'sink_11054']"
32438765,11051,386693.92,"['source_32438765', 'source_32438770', 'sink_11051']"
32438771,11044,385582.4,"['source_32438771', 'source_32438768', 'sink_11044']"
1897288,11055,375831.21,"['source_1897288', 'source_32438757', 'sink_11055']"
32438781,11033,358668.64,"['source_32438781', 'sink_11033']"
32438784,11034,344823.63,"['source_32438784', 'source_32438760', 'sink_11034']"
32438763,11048,336664.7,"['source_32438763', 'source_32438783', 'sink_11048']"
32438754,11048,327912.22,"['source_32438754', 'sink_11048']"
1897303,11055,322547.48,"['source_1897303', 'sink_11055']"
32438761,11051,303016.89,"['source_32438761', 'source_32438766', 'sink_11051']"
1897299,11056,287353.03,"['source_1897299', 'source_32438767', 'source_32438777', 'sink_11056']"
32438764,11053,278432.07,"['source_32438764', 'sink_11053']"
32438787,11071,275480.87,"['source_32438787', 'sink_11071']"
32438767,11056,246888.68,"['source_32438767', 'source_1897299', 'sink_11056']"
32438786,11038,234182.64,"['source_32438786', 'sink_11038']"
32438770,11051,220628.74,"['source_32438770', 'source_32438765', 'sink_11051']"
32438766,11051,176225.6,"['source_32438766', 'sink_11051']"
32438777,11056,169293.22,"['source_32438777', 'sink_11056']"
32438760,11034,162381.34,"['source_32438760', 'source_32438784', 'sink_11034']"
32438769,11042,154869.69,"['source_32438769', 'source_32438753', 'sink_11042']"
32438757,11055,152885.91,"['source_32438757', 'sink_11055']"
32438768,11044,88677.622,"['source_32438768', 'sink_11044']"
