source_id,sink_id,co2_transported,dijkstra_path
25450168,Atmosphere,13245000.0,"['source_25450168', 'Atmosphere']"
25451202,Atmosphere,8312000.0,"['source_25451202', 'Atmosphere']"
448400,Atmosphere,4402400.0,"['source_448400', 'Atmosphere']"
25450638,Atmosphere,3311400.0,"['source_25450638', 'Atmosphere']"
25453843,Atmosphere,3302700.0,"['source_25453843', 'Atmosphere']"
451034,Atmosphere,2827000.0,"['source_451034', 'Atmosphere']"
449842,Atmosphere,2103000.0,"['source_449842', 'Atmosphere']"
25450350,Atmosphere,1990200.0,"['source_25450350', 'Atmosphere']"
25451193,Atmosphere,1854700.0,"['source_25451193', 'Atmosphere']"
449552,Atmosphere,1688800.0,"['source_449552', 'Atmosphere']"
25455505,Atmosphere,1533600.0,"['source_25455505', 'Atmosphere']"
25450588,Atmosphere,1516700.0,"['source_25450588', 'Atmosphere']"
448829,Atmosphere,1472700.0,"['source_448829', 'Atmosphere']"
25451192,Atmosphere,1440400.0,"['source_25451192', 'Atmosphere']"
452553,Atmosphere,1359200.0,"['source_452553', 'Atmosphere']"
25450201,Atmosphere,1197160.0,"['source_25450201', 'Atmosphere']"
448399,Atmosphere,1195550.0,"['source_448399', 'Atmosphere']"
25450351,Atmosphere,1192200.0,"['source_25450351', 'Atmosphere']"
450641,Atmosphere,1152510.0,"['source_450641', 'Atmosphere']"
25451204,Atmosphere,845460.0,"['source_25451204', 'Atmosphere']"
25457263,Atmosphere,612640.0,"['source_25457263', 'Atmosphere']"
447398,Atmosphere,576360.0,"['source_447398', 'Atmosphere']"
25452350,Atmosphere,572900.0,"['source_25452350', 'Atmosphere']"
25451191,Atmosphere,553040.0,"['source_25451191', 'Atmosphere']"
25454894,Atmosphere,520780.0,"['source_25454894', 'Atmosphere']"
448389,Atmosphere,503350.0,"['source_448389', 'Atmosphere']"
448388,Atmosphere,496730.0,"['source_448388', 'Atmosphere']"
451179,Atmosphere,488140.0,"['source_451179', 'Atmosphere']"
715163,Atmosphere,448060.0,"['source_715163', 'Atmosphere']"
449826,Atmosphere,443860.0,"['source_449826', 'Atmosphere']"
448830,Atmosphere,364270.0,"['source_448830', 'Atmosphere']"
4409282,Atmosphere,278170.0,"['source_4409282', 'Atmosphere']"
447409,Atmosphere,235110.0,"['source_447409', 'Atmosphere']"
25453736,Atmosphere,148610.0,"['source_25453736', 'Atmosphere']"
449551,Atmosphere,84346.0,"['source_449551', 'Atmosphere']"
447410,Atmosphere,82786.0,"['source_447410', 'Atmosphere']"
