source_id,sink_id,co2_transported,dijkstra_path
32438944,10345,1112057.2,"['source_32438944', 'source_32438941', 'source_42546768', 'source_32438940', 'sink_10345']"
32438940,10345,1109575.9,"['source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10345']"
32438947,10345,987213.83,"['source_32438947', 'source_42546768', 'source_32438940', 'sink_10345']"
32438941,10345,751697.84,"['source_32438941', 'source_42546768', 'source_32438940', 'sink_10345']"
32438948,10340,480994.97,"['source_32438948', 'sink_10340']"
42546767,10344,372320.44,"['source_42546767', 'source_42546766', 'sink_10344']"
42546766,10344,338148.62,"['source_42546766', 'source_42546767', 'sink_10344']"
42546768,10345,197573.29,"['source_42546768', 'source_32438941', 'source_32438944', 'sink_10345']"
1897554,Atmosphere,1234038.1,"['source_1897554', 'Atmosphere']"
32438946,Atmosphere,1002323.6,"['source_32438946', 'Atmosphere']"
1897551,Atmosphere,896002.83,"['source_1897551', 'Atmosphere']"
1897552,Atmosphere,744789.68,"['source_1897552', 'Atmosphere']"
