source_id,sink_id,co2_transported,dijkstra_path
1897829,10820,605992.05,"['source_1897829', 'sink_10820']"
1897823,10794,532276.91,"['source_1897823', 'source_32439150', 'source_32439156', 'sink_10794']"
32439152,10794,168874.91,"['source_32439152', 'sink_10794']"
1897831,Atmosphere,2997910.7,"['source_1897831', 'Atmosphere']"
32439150,Atmosphere,1263464.2,"['source_32439150', 'Atmosphere']"
32439153,Atmosphere,1080797.5,"['source_32439153', 'Atmosphere']"
32439156,Atmosphere,925595.16,"['source_32439156', 'Atmosphere']"
1897832,Atmosphere,551632.91,"['source_1897832', 'Atmosphere']"
32439154,Atmosphere,537163.72,"['source_32439154', 'Atmosphere']"
32439151,Atmosphere,326448.94,"['source_32439151', 'Atmosphere']"
