source_id,sink_id,co2_transported
25454003,10836,10000000.0
25454003,10837,10000000.0
25454003,10838,1144000.0
25453850,10826,10000000.0
25453850,10832,10000000.0
25453850,10842,497000.0
25453844,10831,10000000.0
25453844,Atmosphere,1204400.0
25454238,10831,8693300.0
718471,10832,6915800.0
25454585,10831,6053100.0
25454246,10831,5795400.0
25453855,10831,5795400.0
25453146,10831,5795400.0
25451662,10831,5022800.0
25451625,10831,3791500.0
25454319,10836,3666900.0
25453145,10831,3284200.0
448860,10831,3042600.0
25454671,10831,2897700.0
450569,10831,2640800.0
25455971,10838,2173300.0
25453886,10831,2125000.0
450340,10827,1500300.0
449760,10838,1454800.0
25455896,10831,1400400.0
450913,10838,1200020.0
448863,10838,1081620.0
25453434,10831,1062500.0
25451661,10831,1062500.0
447593,10838,855330.0
449761,10838,720090.0
450274,10838,693800.0
25452804,Atmosphere,555380.0
25452803,10831,482940.0
25454890,Atmosphere,482940.0
449762,10838,437300.0
25451665,10836,313730.0
717023,10838,289770.0
25457264,10836,241480.0
448861,10838,194720.0
25453513,10831,144900.0
25452701,10836,79911.0
25451667,10838,33708.0
25454084,10831,4722.2
25450205,10838,1549.9
