id,emission,lat,lon
447843,15155000.0,-33.0622,151.5214
25450642,13890000.0,-32.394,150.9501
25451328,11566800.0,-38.2524,146.5753
448783,8820400.0,-23.8507,151.2197
449710,7536200.0,-38.1773,146.3442
25450244,7484400.0,-23.5102,150.32
447453,7446400.0,-24.3449,150.6182
447456,7438300.0,-26.7813,151.9151
25450561,7038400.0,-33.3597,150.0331
447762,6930300.0,-33.161,151.5453
25450608,5341600.0,-38.2555,146.586
25452738,4620200.0,-27.9607,151.2793
25452723,3937800.0,-26.9179,150.7507
25452187,2974400.0,-33.4459,116.3075
25452991,2336400.0,-26.7761,151.9144
25453551,2151400.0,-33.3322,116.228
25452183,1837700.0,-33.3431,116.2608
25453669,1007100.0,-33.2098,151.5451
25450666,953860.0,-34.8068,138.5213
25453589,923660.0,-35.1795,147.2159
447847,916490.0,-34.5225,150.806
449699,896250.0,-33.2357,116.0693
25454624,820700.0,-20.7917,115.4464
449388,813070.0,-31.5591,115.8208
450208,810780.0,-37.8415,144.8947
25454799,784530.0,-27.1109,150.9053
717512,765080.0,-38.0635,142.6682
25454798,721960.0,-27.1128,150.9049
450725,706330.0,-27.1169,150.8942
450842,665100.0,-32.916,115.9186
25452181,612050.0,-38.2751,146.4257
451303,566380.0,-21.0765,116.1593
451828,547580.0,-12.5195,130.9216
451072,537650.0,-26.668,150.27
25451591,481290.0,-27.4184,151.6801
448761,467920.0,-12.555,130.8665
718131,459030.0,-31.6713,115.8021
25453118,433990.0,-37.8416,144.7887
25453334,431230.0,-33.1633,115.7805
25453085,417300.0,-38.2537,146.5889
453081,415340.0,-27.6554,152.818
447380,367090.0,-19.3377,146.8516
450987,365580.0,-32.202,115.773
25454893,339420.0,-31.1919,121.6719
25454212,319950.0,-20.7636,116.7427
25453227,306860.0,-33.3487,138.7517
25454432,293510.0,-34.8032,138.5236
449123,288340.0,-20.6497,117.1411
25451223,286970.0,-20.593,116.7789
25455898,283180.0,-32.6473,115.9468
449259,281200.0,-33.85,150.9495
453092,278230.0,-32.1983,115.7752
450248,271260.0,-34.7794,138.523
452075,267170.0,-20.7842,139.4832
450426,260780.0,-32.2001,115.7737
449555,248380.0,-19.2011,146.6187
451022,247600.0,-41.1399,146.9034
25454664,227870.0,-20.6141,116.7647
447862,219900.0,-34.8478,138.5817
25455838,214210.0,-34.7639,138.5068
