id,name,emission,lat,lon
4402949,Maritsa Iztok-2 power station,5009400.0,42.2541,26.134
25452769,Maritsa Iztok-1 power station,2387400.0,42.1573,25.9084
4402950,Maritsa Iztok-3 power station,1500300.0,42.1444,26.0033
25451491,Bobov Dol power station,1416740.0,42.2854,23.0342
25451497,Ruse Iztok power station,522730.0,43.8662,26.0093
25451493,Brikel power station,394970.0,42.1546,25.9068
25451496,PERNIK REPUBLIKA,359550.0,42.6071,23.0787
448689,SOLVAY PROVADSOL,334200.0,43.1964,27.6327
25452642,Neftochim Refinery power station,165770.0,42.5499,27.3317
4402955,Varna power station,161170.0,43.1948,27.7655
451555,PLOVDIV NORTH,122471.0,42.183,24.7414
448696,SOFIA IZTOK TEC,96830.0,42.6515,23.4172
451182,SOFIA TEC,57563.0,42.7189,23.3209
25453847,Toplofikacia Pleven power station,20627.0,43.4212,24.6253
