,,path,adjusted_distance,actual_distance,hop_count,source_id,sink_id
3672990,10201,"['source_3672990', 'source_3673002', 'source_3673022', 'source_3672987', 'source_3672991', 'source_3673016', 'source_3673032', 'source_3673030', 'source_3673040', 'source_3673034', 'source_3672978', 'source_3673038', 'sink_10202', 'sink_10201']",446.7571534927093,2357.1951294475216,14,source_id_3672990,sink_id_10201
3672990,10202,"['source_3672990', 'source_3673002', 'source_3673022', 'source_3672987', 'source_3672991', 'source_3673016', 'source_3673032', 'source_3673030', 'source_3673040', 'source_3673034', 'source_3672978', 'source_3673038', 'sink_10202']",442.94236445343137,2307.6028719369087,13,source_id_3672990,sink_id_10202
3672990,10203,"['source_3672990', 'source_3673033', 'sink_10217', 'sink_10204', 'sink_10203']",176.92419241044826,347.0841494493241,5,source_id_3672990,sink_id_10203
3672990,10204,"['source_3672990', 'source_3673033', 'sink_10217', 'sink_10204']",176.8638774408193,346.8428895708083,4,source_id_3672990,sink_id_10204
3672990,10205,"['source_3672990', 'source_3673033', 'sink_10205']",109.44298080699832,144.55582174141426,3,source_id_3672990,sink_id_10205
3672990,10206,"['source_3672990', 'source_3673033', 'sink_10217', 'sink_10204', 'sink_10203', 'sink_10213', 'sink_10206']",378.50718578237786,1452.1137008171504,7,source_id_3672990,sink_id_10206
3672990,10207,"['source_3672990', 'source_3673002', 'source_3673022', 'source_3673017', 'source_3672984', 'sink_10250', 'sink_10207']",399.3796879301475,1407.9133108703297,7,source_id_3672990,sink_id_10207
3672990,10208,"['source_3672990', 'source_3673033', 'sink_10205', 'sink_10269', 'sink_10208']",168.51816939872185,361.62828873788044,5,source_id_3672990,sink_id_10208
3672990,10209,"['source_3672990', 'source_3673033', 'sink_10205', 'sink_10269', 'sink_10209']",168.32203447809226,360.8437490553621,5,source_id_3672990,sink_id_10209
3672990,10210,"['source_3672990', 'source_3673002', 'source_3673022', 'source_3672987', 'source_3672991', 'source_3673016', 'sink_10234', 'sink_10226', 'sink_10210']",457.00356116345944,2103.644027227161,9,source_id_3672990,sink_id_10210
3672990,10211,"['source_3672990', 'source_3673002', 'source_3673022', 'source_3672987', 'source_3672991', 'source_3673016', 'sink_10234', 'sink_10226', 'sink_10211']",453.3162916210871,2074.145870888182,9,source_id_3672990,sink_id_10211
3672990,10212,"['source_3672990', 'source_3673002', 'source_3673022', 'source_3672987', 'source_3672991', 'source_3673016', 'sink_10234', 'sink_10226', 'sink_10212']",453.3082481409664,2074.081523047217,9,source_id_3672990,sink_id_10212
3672990,10213,"['source_3672990', 'source_3673033', 'sink_10217', 'sink_10204', 'sink_10203', 'sink_10213']",281.3926012741995,869.4261937680801,6,source_id_3672990,sink_id_10213
3672990,10214,"['source_3672990', 'source_3673002', 'source_3673022', 'source_3672987', 'source_3672991', 'source_3673016', 'sink_10234', 'sink_10226', 'sink_10214']",445.4008789926394,2010.8225698606007,9,source_id_3672990,sink_id_10214
3672990,10215,"['source_3672990', 'source_3673002', 'source_3673022', 'source_3672987', 'source_3672991', 'source_3673016', 'source_3673032', 'source_3673030', 'source_3673040', 'source_3673034', 'source_3672978', 'source_3673038', 'sink_10202', 'sink_10201', 'sink_10215']",471.67573657463333,2706.055292594459,15,source_id_3672990,sink_id_10215
3672990,10216,"['source_3672990', 'source_3673002', 'source_3673022', 'source_3672987', 'source_3672991', 'source_3673016', 'source_3673032', 'source_3673030', 'source_3673040', 'source_3673034', 'source_3672978', 'source_3673021', 'source_3672982', 'sink_10216']",467.10194672056366,2669.6107111926217,14,source_id_3672990,sink_id_10216
3672990,10217,"['source_3672990', 'source_3673033', 'sink_10217']",109.4186028790672,144.507065885552,3,source_id_3672990,sink_id_10217
3672990,10218,"['source_3672990', 'source_3673033', 'sink_10205', 'sink_10269', 'sink_10218']",173.5940137281996,381.9316660557914,5,source_id_3672990,sink_id_10218
3672990,10219,"['source_3672990', 'source_3673033', 'sink_10205', 'sink_10269', 'sink_10219']",173.61963086454722,382.03413460118185,5,source_id_3672990,sink_id_10219
3672990,10220,"['source_3672990', 'source_3673033', 'sink_10217', 'sink_10204', 'sink_10203', 'sink_10220']",252.51623603038865,725.0443675490261,6,source_id_3672990,sink_id_10220
3672990,10221,"['source_3672990', 'source_3673033', 'sink_10205', 'sink_10269', 'sink_10249', 'sink_10221']",252.2009289537699,780.4320582819208,6,source_id_3672990,sink_id_10221
3672990,10222,"['source_3672990', 'source_3673033', 'sink_10205', 'sink_10269', 'sink_10249', 'sink_10222']",267.74521115131694,858.153469269656,6,source_id_3672990,sink_id_10222
3672990,10223,"['source_3672990', 'source_3673033', 'sink_10205', 'sink_10269', 'sink_10218', 'sink_10223']",348.52218109002695,1256.572502864928,6,source_id_3672990,sink_id_10223
3672990,10224,"['source_3672990', 'source_3673002', 'source_3673022', 'sink_10224']",216.13547151351537,402.5968586011,4,source_id_3672990,sink_id_10224
3672990,10225,"['source_3672990', 'source_3673002', 'source_3673022', 'source_3672987', 'source_3672991', 'source_3673016', 'sink_10234', 'sink_10225']",324.87520526579317,1035.2291640804365,8,source_id_3672990,sink_id_10225
3672990,10226,"['source_3672990', 'source_3673002', 'source_3673022', 'source_3672987', 'source_3672991', 'source_3673016', 'sink_10234', 'sink_10226']",313.4871893003985,955.5130523226735,8,source_id_3672990,sink_id_10226
3672990,10227,"['source_3672990', 'source_3673002', 'source_3673022', 'source_3672987', 'source_3672991', 'source_3673016', 'source_3673032', 'source_3673030', 'source_3673009', 'source_3672973', 'source_3673003', 'source_3672972', 'source_3672992', 'source_3673035', 'sink_10227']",402.2777546063614,2119.5809540852633,15,source_id_3672990,sink_id_10227
3672990,10228,"['source_3672990', 'source_3673033', 'sink_10205', 'sink_10269', 'sink_10263', 'source_3673045', 'source_3673001', 'source_3673006', 'source_3673041', 'source_3672977', 'source_3673010', 'sink_10228']",390.23978403791887,2047.9733399057732,12,source_id_3672990,sink_id_10228
