,,path,adjusted_distance,actual_distance,hop_count,source_id,sink_id
33998934,11097,"['source_33998934', 'sink_11097']",37.92159331727837,37.92159331727837,2,source_id_33998934,sink_id_11097
33998934,11098,"['source_33998934', 'sink_11098']",46.408906597828654,46.408906597828654,2,source_id_33998934,sink_id_11098
33998934,11272,"['source_33998934', 'sink_11098', 'sink_11272']",72.28751448946264,98.16612238109661,3,source_id_33998934,sink_id_11272
33998934,11273,"['source_33998934', 'sink_11098', 'sink_11279', 'sink_11273']",85.14264786903941,146.03301695542842,4,source_id_33998934,sink_id_11273
33998934,11274,"['source_33998934', 'sink_11098', 'sink_11279', 'sink_11273', 'sink_11274']",134.17982480577814,342.1817247023834,5,source_id_33998934,sink_id_11274
33998934,11275,"['source_33998934', 'sink_11098', 'sink_11279', 'sink_11273', 'sink_11275']",134.9471225267501,345.25091558627116,5,source_id_33998934,sink_id_11275
33998934,11276,"['source_33998934', 'sink_11098', 'sink_11279', 'sink_11273', 'sink_11278', 'sink_11276']",137.17951512824587,360.21497837702185,6,source_id_33998934,sink_id_11276
33998934,11277,"['source_33998934', 'sink_11098', 'sink_11279', 'sink_11273', 'sink_11277']",132.25149272542467,334.4683963809694,5,source_id_33998934,sink_id_11277
33998934,11278,"['source_33998934', 'sink_11098', 'sink_11279', 'sink_11273', 'sink_11278']",131.14502274347836,330.0425164531843,5,source_id_33998934,sink_id_11278
33998934,11279,"['source_33998934', 'sink_11098', 'sink_11279']",62.98602005386114,79.56313350989362,3,source_id_33998934,sink_id_11279
33998934,11280,"['source_33998934', 'sink_11098', 'sink_11279', 'sink_11273', 'sink_11278', 'sink_11280']",138.7761151349073,368.197978410329,6,source_id_33998934,sink_id_11280
