,,path,adjusted_distance,actual_distance,hop_count,source_id,sink_id
0,10074,"['source_0', 'sink_10910', 'source_3', 'sink_10074']",246.7146659536756,396.48747749448603,4,source_id_0,sink_id_10074
0,10909,"['source_0', 'sink_10909']",118.46230438440831,118.46230438440831,2,source_id_0,sink_id_10909
0,10910,"['source_0', 'sink_10910']",155.64207907924722,155.64207907924722,2,source_id_0,sink_id_10910
0,10911,"['source_0', 'sink_10911']",159.41286500620367,159.41286500620367,2,source_id_0,sink_id_10911
0,10912,"['source_0', 'sink_10909', 'sink_10912']",175.39769099996735,232.3330776155264,3,source_id_0,sink_id_10912
1,10074,"['source_1', 'source_8', 'source_9', 'sink_10074']",251.14562700567507,476.91257758489087,4,source_id_1,sink_id_10074
1,10909,"['source_1', 'source_8', 'sink_10909']",240.56474916592643,392.87148102879553,3,source_id_1,sink_id_10909
1,10910,"['source_1', 'source_8', 'sink_10911', 'sink_10910']",215.32337051034702,349.61851334917833,4,source_id_1,sink_id_10910
1,10911,"['source_1', 'source_8', 'sink_10911']",208.09358087880534,327.92914445455335,3,source_id_1,sink_id_10911
1,10912,"['source_1', 'source_8', 'sink_10912']",213.08917411643097,337.92033092980466,3,source_id_1,sink_id_10912
2,10074,"['source_2', 'source_7', 'sink_10912', 'sink_10911', 'sink_10910', 'sink_10074']",313.2854810410064,736.126288000988,6,source_id_2,sink_id_10074
2,10909,"['source_2', 'source_7', 'sink_10912', 'sink_10909']",231.6314825453448,407.69020042761895,4,source_id_2,sink_id_10909
2,10910,"['source_2', 'source_7', 'sink_10912', 'sink_10911', 'sink_10910']",274.25960610964233,540.9969133441678,5,source_id_2,sink_id_10910
2,10911,"['source_2', 'source_7', 'sink_10912', 'sink_10911']",268.8372638859861,519.3075444495428,4,source_id_2,sink_id_10911
2,10912,"['source_2', 'source_7', 'sink_10912']",193.6745581349721,293.81942719650084,3,source_id_2,sink_id_10912
3,10074,"['source_3', 'sink_10910', 'sink_10074']",162.3094117445028,259.87409907291294,3,source_id_3,sink_id_10074
3,10909,"['source_3', 'sink_10911', 'sink_10909']",149.77288248696794,235.16759220530537,3,source_id_3,sink_id_10909
3,10910,"['source_3', 'sink_10910']",64.74472441609268,64.74472441609268,2,source_id_3,sink_id_10910
3,10911,"['source_3', 'sink_10911']",64.37817276863055,64.37817276863055,2,source_id_3,sink_id_10911
3,10912,"['source_3', 'sink_10911', 'sink_10912']",177.12223139515152,289.86629002167246,3,source_id_3,sink_id_10912
4,10074,"['source_4', 'sink_10909', 'sink_10911', 'source_3', 'sink_10074']",187.81219099107832,448.201188054529,5,source_id_4,sink_id_10074
4,10909,"['source_4', 'sink_10909']",36.93292185007753,36.93292185007753,2,source_id_4,sink_id_10909
4,10910,"['source_4', 'sink_10909', 'sink_10910']",127.92384403318104,218.91476621628453,3,source_id_4,sink_id_10910
4,10911,"['source_4', 'sink_10909', 'sink_10911']",122.32763156841494,207.72234128675234,3,source_id_4,sink_id_10911
4,10912,"['source_4', 'sink_10909', 'sink_10912']",93.86830846563657,150.80369508119563,3,source_id_4,sink_id_10912
5,10074,"['source_5', 'source_0', 'sink_10910', 'sink_10074']",285.72012302149386,493.627412332331,4,source_id_5,sink_id_10074
5,10909,"['source_5', 'source_4', 'sink_10909']",179.18753370999994,197.65399463503869,3,source_id_5,sink_id_10909
5,10910,"['source_5', 'source_0', 'sink_10910']",220.67699813588712,298.4980376755108,3,source_id_5,sink_id_10910
5,10911,"['source_5', 'source_0', 'sink_10911']",222.56239109936536,302.2688236024672,3,source_id_5,sink_id_10911
5,10912,"['source_5', 'source_4', 'sink_10909', 'sink_10912']",217.14445812037263,311.52476786615676,4,source_id_5,sink_id_10912
6,10074,"['source_6', 'source_2', 'source_7', 'source_8', 'source_9', 'sink_10074']",388.3689036487116,901.4988101368601,6,source_id_6,sink_id_10074
6,10909,"['source_6', 'sink_10912', 'sink_10909']",297.94555597851945,354.8809425940785,3,source_id_6,sink_id_10909
6,10910,"['source_6', 'source_2', 'source_7', 'sink_10911', 'sink_10910']",349.97996149254624,666.2949824270929,5,source_id_6,sink_id_10910
6,10911,"['source_6', 'source_2', 'source_7', 'sink_10911']",344.55761926889,644.6056135324679,4,source_id_6,sink_id_10911
6,10912,"['source_6', 'sink_10912']",241.0101693629604,241.0101693629604,2,source_id_6,sink_id_10912
7,10074,"['source_7', 'source_2', 'sink_10911', 'sink_10910', 'sink_10074']",362.59836041434494,736.4615087151982,5,source_id_7,sink_id_10074
7,10909,"['source_7', 'source_2', 'sink_10909']",255.05963512597592,416.58958117850847,3,source_id_7,sink_id_10909
7,10910,"['source_7', 'source_2', 'sink_10911', 'sink_10910']",313.8160167501399,541.332134058378,4,source_id_7,sink_id_10910
7,10911,"['source_7', 'source_2', 'sink_10911']",306.58622711859823,519.642765163753,3,source_id_7,sink_id_10911
