index,flow_name
"(0, 10074)",Flow_from_0_to_10074
"(0, 10909)",Flow_from_0_to_10909
"(0, 10910)",Flow_from_0_to_10910
"(0, 10911)",Flow_from_0_to_10911
"(0, 10912)",Flow_from_0_to_10912
"(1, 10074)",Flow_from_1_to_10074
"(1, 10909)",Flow_from_1_to_10909
"(1, 10910)",Flow_from_1_to_10910
"(1, 10911)",Flow_from_1_to_10911
"(1, 10912)",Flow_from_1_to_10912
"(2, 10074)",Flow_from_2_to_10074
"(2, 10909)",Flow_from_2_to_10909
"(2, 10910)",Flow_from_2_to_10910
"(2, 10911)",Flow_from_2_to_10911
"(2, 10912)",Flow_from_2_to_10912
"(3, 10074)",Flow_from_3_to_10074
"(3, 10909)",Flow_from_3_to_10909
"(3, 10910)",Flow_from_3_to_10910
"(3, 10911)",Flow_from_3_to_10911
"(3, 10912)",Flow_from_3_to_10912
"(4, 10074)",Flow_from_4_to_10074
"(4, 10909)",Flow_from_4_to_10909
"(4, 10910)",Flow_from_4_to_10910
"(4, 10911)",Flow_from_4_to_10911
"(4, 10912)",Flow_from_4_to_10912
"(5, 10074)",Flow_from_5_to_10074
"(5, 10909)",Flow_from_5_to_10909
"(5, 10910)",Flow_from_5_to_10910
"(5, 10911)",Flow_from_5_to_10911
"(5, 10912)",Flow_from_5_to_10912
"(6, 10074)",Flow_from_6_to_10074
"(6, 10909)",Flow_from_6_to_10909
"(6, 10910)",Flow_from_6_to_10910
"(6, 10911)",Flow_from_6_to_10911
"(6, 10912)",Flow_from_6_to_10912
"(7, 10074)",Flow_from_7_to_10074
"(7, 10909)",Flow_from_7_to_10909
"(7, 10910)",Flow_from_7_to_10910
"(7, 10911)",Flow_from_7_to_10911
"(7, 10912)",Flow_from_7_to_10912
"(8, 10074)",Flow_from_8_to_10074
"(8, 10909)",Flow_from_8_to_10909
"(8, 10910)",Flow_from_8_to_10910
"(8, 10911)",Flow_from_8_to_10911
"(8, 10912)",Flow_from_8_to_10912
"(9, 10074)",Flow_from_9_to_10074
"(9, 10909)",Flow_from_9_to_10909
"(9, 10910)",Flow_from_9_to_10910
"(9, 10911)",Flow_from_9_to_10911
"(9, 10912)",Flow_from_9_to_10912
