id,name,emission,lat,lon
25452444,BOXBERG,12893300.0,51.4205,14.5703
25452445,Janschwalde power station,10027400.0,51.8357,14.4578
25451940,Niederaussem power station,8207900.0,50.994,6.6675
25451939,Neurath power station,8169400.0,51.0358,6.633
25450974,GKM,7958500.0,49.4457,8.4904
25452447,Schwarze Pumpe power station,7667500.0,51.5379,14.3535
4403955,LIPPENDORF VEAG,7625100.0,51.1845,12.3729
25451941,Weisweiler power station,7291700.0,50.8396,6.3224
25452451,Schkopau power station,3938100.0,51.3985,11.9504
25452449,Datteln power station,3740400.0,51.633,7.3425
25452203,Herne power station,2816400.0,51.5514,7.1889
25453771,Luenen-Stummhafen power station,2808200.0,51.614,7.462
25453755,Wilhelmshaven Engie power station,2769300.0,53.5748,8.137
25451691,Staudinger power station,2678200.0,50.0881,8.9522
25450872,HEILBRONN,2561200.0,49.1753,9.2074
4401664,RDK (Karlsruhe) power station,2371700.0,49.0133,8.3054
448468,Mainz power station,2216400.0,50.0262,8.2369
450821,Duisburg-Walsum power station,2196100.0,51.527,6.7082
449658,EMSLAND LINGEN,2073100.0,52.4819,7.3067
25451503,ALTBACH/DEIZISAU,2048800.0,48.7172,9.3708
448325,IRSCHING,1998400.0,48.767,11.58
450291,KNAPSACK CHEMIEPARK,1947100.0,50.859,6.841
4403962,SCHOLVEN G&H,1847600.0,51.6006,7.0046
25450970,Bergkamen power station,1837200.0,51.6367,7.6206
449141,WEIHER,1555000.0,49.3345,7.0335
25450299,Berlin-Reuter-West power station,1543340.0,52.5346,13.2445
25451000,Wedel power station,1462900.0,53.5668,9.7257
448070,MARBACH,1351200.0,48.9275,9.23
25451272,Rostock power station,1350670.0,54.1428,12.1329
25451937,Huckingen power station,1242350.0,51.3763,6.7239
25453467,Trianel Hamm power station,1187160.0,51.6739,7.9291
448831,SCHWEDT REFINERY,1148930.0,53.098,14.234
25452165,GKH Hannover power station,1118000.0,52.4203,9.6475
25451504,Walheim power station,1116900.0,49.0177,9.1577
448326,ZOLLING,1083810.0,48.4553,11.7995
25450999,TIEFSTACK,994730.0,53.526,10.0643
449860,DORMAGEN,966850.0,51.0791,6.8287
449355,LAUSWARD,939310.0,51.2214,6.7313
448171,Franken 1 power station,865720.0,49.4208,11.0077
450194,Hamborn power station,807780.0,51.4908,6.727
25455576,FABRIK FRECHEN,745080.0,50.8976,6.7931
25455454,Mittelsbüren power station,738200.0,53.1294,8.6823
449358,HKW WEST,717570.0,50.0988,8.6557
449370,MUNCHEN SUD,712140.0,48.114,11.556
450992,HERDECKE,706790.0,51.4031,7.4149
449491,Stuttgart-Muenster power station,693280.0,48.8138,9.2192
448162,NIEHL,668260.0,50.9749,6.988
450441,LUDWIGSHAFEN MITTE,612760.0,49.5144,8.4311
4403647,FLINGERN,601290.0,51.2247,6.8155
448065,MITTE BERLIN,597570.0,52.5117,13.4209
447506,LICHTERFELDE,577090.0,52.4252,13.3098
449659,GERSTEINWERK,572060.0,51.6729,7.7157
452764,HERMANN WENZEL,567340.0,51.4597,6.7306
4404195,Krefeld-Uerdingen power station,546230.0,51.3774,6.6587
7051,Biblis power station,542880.0,49.7052,8.4149
449352,MITTELSBUREN,525850.0,53.1287,8.6864
25453219,MHKW ROTHENSEE,523500.0,52.1853,11.6791
715279,LEUNA REFINERY,509390.0,51.2913,11.9997
449134,LUDWIGSHAFEN KW SUD,500170.0,49.4986,8.434
716166,ROMERBRUCKE,499600.0,49.2237,7.0149
448160,MERKENICH (NORD),487440.0,51.0178,6.9643
449353,Duisburg power station,472790.0,51.3903,6.748
25455182,Knapsack Gas power station,466550.0,50.8616,6.847
718895,Leipheim power station,463020.0,48.4408,10.2526
447488,WESSELING ELENAC,451230.0,50.8329,6.9653
25451393,GROSSKAYNA,442980.0,51.2918,11.9464
449514,TEAG HKW JENA,439720.0,50.8969,11.5857
448067,BERLIN-MARZAHN,434030.0,52.5238,13.5235
449363,GKH LINDEN,426350.0,52.3729,9.7142
448887,HUNTORF CAES,420960.0,53.1897,8.4087
447780,NOSSENER BRUCKE,411260.0,51.0421,13.7086
25450277,LUDWIGSHAFEN NORD,392610.0,49.5229,8.4193
25451636,Hausham power station,385130.0,47.7524,11.8398
25450298,MOABIT,370670.0,52.5371,13.3458
448264,CHEMIEPARK MARL,361050.0,51.6846,7.1
447766,RHEINLAND RAFFINERIE,360430.0,50.8556,6.9791
25451235,HAGEN-KABEL,356020.0,51.4114,7.491
25451685,AUDORF,335060.0,54.2903,9.7227
25452204,TOTAL R&C LEUNA,324790.0,51.2912,12.0001
449151,SALZGITTER HALLENDORF,323480.0,52.1546,10.3905
25452999,HOECHST BUSINESS PARK,317000.0,50.0918,8.5312
448066,Berlin-Klingenberg power station,311860.0,52.49,13.496
25452057,RZR HERTEN,310140.0,51.5573,7.1641
449933,IKW-PROJEKT,308050.0,52.1627,14.6333
4403987,Wolfsburg West power station,304700.0,52.4415,10.7651
25453331,TREA LEUNA EFW,300720.0,51.3249,11.9958
714983,INFRASERV HOECHST,291730.0,50.0918,8.5313
4403408,GOLDENBERG,281720.0,50.8622,6.8354
25455835,Kiel power station,278690.0,54.3411,10.1781
4404393,AVG Köln RMVA power station,277920.0,51.0051,6.9488
449657,Thyrow power station,277240.0,52.2302,13.3019
25453474,MHKW OFFENBACH,276060.0,50.0653,8.769
449650,KIRCHMOSER,271600.0,52.3942,12.4181
448789,MIRO REFINERY,269590.0,49.0521,8.3213
447778,STADE DOW,265170.0,53.6361,9.5141
447941,KIRCHLENGERN,262750.0,52.1951,8.6489
25452168,LEIPZIG-NORD,260330.0,51.3512,12.3784
25453174,RUGENBERGER DAMM,259980.0,53.5209,9.9348
449702,BARMEN,258560.0,51.2689,7.2003
25453215,MVA HANNOVER,245580.0,52.4118,9.853
449347,HKW NORD KARLSTRASSE,225900.0,50.7338,7.0805
25450931,Offenbach power station,222410.0,50.1113,8.7454
449379,FRIEDENSBRUCKE,219140.0,49.8,9.9231
25452456,Ahrensfelde power station,217740.0,52.5896,13.5586
4403640,BRAUNSCHWEIG MITTE,214850.0,52.2786,10.5147
4402419,UPM SCHONGAU,213550.0,47.8057,10.9021
452430,GUD ZEITZ,213070.0,51.0692,12.1959
4409254,Huerth Ville / Berrenrath power station,211280.0,50.867,6.836
4403651,FLENSBURG,210520.0,54.805,9.4324
447505,Charlottenburg power station,209000.0,52.5219,13.3111
451538,UPM PLATTLING,208980.0,48.8007,12.8682
449673,BURGHAUSEN WORKS,207350.0,48.1812,12.8471
4406042,MVA SCHWANDORF,197170.0,49.3111,12.0858
449360,HKW AM HOHEN FELD,189630.0,52.3182,14.5315
449303,KWG STASSFURT,187740.0,51.8644,11.5729
450594,BITTERFELD ENVIA,187620.0,51.6291,12.3045
449375,ROSTOCK-MARIENEHE,187550.0,54.1274,12.0844
452875,KEO RUSSELSHEIM,187360.0,49.995,8.3966
25452853,AVA VELSEN,186420.0,49.2139,6.8345
449309,SOLVAY BERNBURG ALKALI,185850.0,51.8026,11.7515
6998,Leipzig Süd power station,179970.0,51.2975,12.3842
449907,ERFURT-OST,179790.0,51.0172,11.0402
25453863,EBS-HKW ROSTOCK,179230.0,54.1446,12.1412
25452670,INEOS KOLN,179000.0,50.9405,6.9607
449371,Hafen Muenster power station,173120.0,51.9501,7.6413
447401,AKZO OBERNBURG,167930.0,49.8293,9.1482
25451430,MVA HAMM,161710.0,51.6804,7.7442
25453427,DIESELSTRASSE,160960.0,51.4591,11.9929
447490,CHEMPARK LEVERKUSEN,159080.0,51.0222,6.9863
25454076,Leuna power station,157580.0,51.2998,12.0193
452977,DRESDEN-REICK,155690.0,51.0245,13.784
716140,HASTEDT,152410.0,53.0592,8.8732
25454292,ANDERNACH,147910.0,50.4349,7.4321
449368,HKW FREIMANN,145150.0,48.1889,11.5957
25453644,PIRMASENS,143450.0,49.2282,7.5955
25451690,Kassel Kombi power station,140880.0,51.2785,9.4846
451306,Gera-Tinz power station,138650.0,50.8455,12.0788
25451392,WAHLITZ,138640.0,51.1663,12.0764
449671,Wolfsburg North power station,137900.0,52.4317,10.787
448593,HKW HALLE-TROTHA,136890.0,51.5237,11.9434
447487,BASF SCHWARZHEIDE,136300.0,51.4762,13.8891
25453584,TREA BREISGAU,134460.0,47.8906,7.6161
449359,HKW NIEDERRAD,132570.0,50.0856,8.6279
449670,WERK KASSEL,132570.0,51.2531,9.4379
448704,NEUBRANDENBURG GUD,130760.0,53.5745,13.2951
449697,EMSLAND REFINERY,124443.0,52.5621,7.3027
25453272,Dillingen power station,119239.0,49.3512,6.7509
448061,SANDREUTH,116125.0,49.4386,11.0606
452218,WERK SINDELFINGEN,116125.0,48.6972,8.9992
449378,SCHWERIN-SUD,114368.0,53.5779,11.3965
25455632,MHKW BURGKIRCHEN,112044.0,48.1851,12.7361
4402278,CHEMNITZ NORD,111682.0,50.8578,12.9239
25452626,AHKW NEUNKIRCHEN,107568.0,49.3386,7.17
25452417,PFAFFENWALD,103837.0,48.7508,9.1103
449310,SOLVIN RHEINBERG,102304.0,51.5632,6.5777
25452145,KASSEL KOMBI,100709.0,51.2793,9.4834
4403416,FENNE,99077.0,49.2494,6.8806
449816,GTKW DARMSTADT,97456.0,49.8857,8.6493
451033,WERK WORTH PALM,96173.0,49.07,8.307
25455488,SAPPI STOCKSTADT,91930.0,49.9774,9.0687
6988,Altchemnitz power station,91445.0,50.7986,12.9175
714514,DESSAU,87602.0,51.8276,12.2306
4406693,NORDLAND PAPIER,87092.0,52.9803,7.3636
450048,POTSDAM SUD,87092.0,52.3661,13.1125
25452619,Cottbus CHP power station,86267.0,51.7603,14.3698
4409487,Kelheim Fibres power station,86260.0,48.906,11.9067
449372,PFORZHEIM,85122.0,48.8973,8.7245
25451395,Wolfen Envia power station,82944.0,51.6245,12.3051
451793,ASCHAFFENBURG MILL,80932.0,49.9882,9.1558
452818,INFRASERV WIESBADEN,80867.0,50.0406,8.2532
447602,KREFELD CERESTAR,79831.0,51.3392,6.6642
448884,EMDEN,75476.0,53.3422,7.2062
25451391,DEUBEN,74137.0,51.1117,12.0763
451032,WERK ELTMANN,73688.0,49.984,10.6514
448375,WERK HATTORF,71071.0,50.8126,9.978
449365,KARLSRUHE WEST,69671.0,49.0144,8.3481
447369,JASS WERK FULDA,68634.0,50.5673,9.6794
449346,HILTROP,67262.0,51.508,7.2503
25455610,SERMUTH,65471.0,51.1614,12.7815
452362,GROSSENKNETEN COGEN,64280.0,52.4102,9.8125
25454920,Greifswald power station,63035.0,54.0703,13.3951
25452475,Freiburg power station,61170.0,48.0209,7.842
450439,PKV KRAFTWERK,59304.0,53.4032,8.1282
450032,WERK KLEIN WANZLEBEN,58619.0,52.0701,11.3853
450465,MITSUBISHI HITEC,56369.0,52.0333,8.5333
451499,HKW SUD SAARBRUCKEN,55967.0,49.2137,6.9781
448214,DUSSELDORF HENKEL,55457.0,51.1805,6.8376
448224,GENDORF WORKS,54877.0,48.1768,12.7306
449345,FRANZISKANERGASSE,54174.0,48.401,10.9358
25453752,DRESDEN FAB 1,50948.0,51.1258,13.7163
25455627,DKW LEINAU,50835.0,47.9125,10.6117
449356,ERLANGEN,49379.0,49.593,11.0016
452217,LEPPERSDORF,48290.0,51.1514,13.9776
4409488,Mannheim Mill power station,48106.0,49.536,8.4638
25455614,Bayernoil Refinery power station,48106.0,48.7879,11.7562
716975,RAUBLING MILL,47359.0,47.796,12.1193
450467,GRENZACH DSM,45725.0,47.5397,7.7069
449843,RAFFINERIE HEIDE,45617.0,54.1577,9.0745
25452741,Dresden power station,45287.0,51.1258,13.7163
449490,GAISBURG,44853.0,48.7828,9.2315
25452416,Universitat Freiburg power station,44789.0,47.9833,7.85
25453731,Stadtwerke Augsburg power station,44561.0,48.401,10.9358
25452461,DKW NORD,43904.0,48.0627,10.4866
25455628,IHKW HEIDENHEIM,40973.0,48.6701,10.1506
25455615,SKW DIESEL,40440.0,47.6835,10.3191
25452178,SCHWERIN-LANKOW,40132.0,53.6539,11.373
25455625,Ineos power station,39812.0,51.4693,6.6436
449343,BRANDENBURG HAVEL,38361.0,51.5122,13.9711
449348,BRAUNSCHWEIG NORD,36288.0,52.2786,10.5147
449143,WERK SACHSEN,35769.0,51.4656,12.592
448597,GUTERSLOH PLANT,31707.0,51.9073,8.4088
25452212,WERK OFFSTEIN,31518.0,49.5991,8.221
451530,STADE-BUTZFLETH,31102.0,53.6575,9.502
448376,WERK WERRA,29341.0,50.894,9.9972
25453823,KLARSEE,29032.0,53.3,14.25
448068,OBERHAUSEN-STERKRADE,25919.0,51.4707,6.8616
4405775,Maxau power station,25505.0,49.0419,8.3134
452808,WERK DUSSELDORF H120,24529.0,51.2545,6.7865
452816,GUNVOR RAFFINERIE,24156.0,48.789,11.4733
25455406,ENERGIEZENTRALE OST,23224.0,51.5744,7.2979
25451178,WERK ZIELITZ,21669.0,52.2985,11.6796
25455569,SAPPI ALFELD,20735.0,51.9848,9.8228
449366,HKW HUMBOLDTSTRASSE,20735.0,54.3275,10.1267
25452905,BHKW OBERE VIEHWEIDE,20436.0,48.5109,9.0715
451304,HKW SCHWARZA,20374.0,50.6869,11.3293
25451362,MM FS-KARTON,18819.0,51.2171,6.6965
25455570,KESSELHAUS ZUCKERFABRIK,15656.0,53.8563,13.7101
25455630,BHKW KLINKERWEG,14806.0,51.2169,6.9473
25454110,BHKW BOHRHUGEL,14527.0,50.6315,10.6987
25455622,BHKW HAUFFSTRASSE,14515.0,48.4939,9.1856
25455623,HKW CHEMNITZER STRASSE,13893.0,48.0056,7.8423
25454193,BREUBERG/ODENWALD,11819.3,49.8108,9.0117
