,,path,adjusted_distance,actual_distance,hop_count,source_id,sink_id
31922462,10273,"['source_31922462', 'sink_10281', 'sink_10283', 'sink_10285', 'sink_10275', 'sink_10273']",953.5658060486951,2562.3512336673207,6,source_id_31922462,sink_id_10273
31922462,10274,"['source_31922462', 'sink_10281', 'sink_10283', 'sink_10285', 'sink_10275', 'sink_10273', 'sink_10274']",985.7216114417921,2755.286066025903,7,source_id_31922462,sink_id_10274
31922462,10275,"['source_31922462', 'sink_10281', 'sink_10283', 'sink_10285', 'sink_10275']",910.8567450452365,2348.8059286500275,5,source_id_31922462,sink_id_10275
31922462,10276,"['source_31922462', 'sink_10281', 'source_31922457', 'sink_10280', 'sink_10276']",880.0725025286317,2061.4828136537767,5,source_id_31922462,sink_id_10276
31922462,10277,"['source_31922462', 'sink_10281', 'source_31922457', 'sink_10280', 'sink_10277']",880.0486308085591,2061.387326773486,5,source_id_31922462,sink_id_10277
31922462,10278,"['source_31922462', 'sink_10281', 'source_31922457', 'sink_10280', 'sink_10278']",933.4132131841137,2274.8456562757046,5,source_id_31922462,sink_id_10278
31922462,10279,"['source_31922462', 'sink_10281', 'source_31922457', 'sink_10279']",798.2733410835531,1734.2572934614682,4,source_id_31922462,sink_id_10279
31922462,10280,"['source_31922462', 'sink_10281', 'source_31922457', 'sink_10280']",798.2444666715592,1734.1706702254862,4,source_id_31922462,sink_id_10280
31922462,10281,"['source_31922462', 'sink_10281']",161.37991952596812,161.37991952596812,2,source_id_31922462,sink_id_10281
31922462,10282,"['source_31922462', 'sink_10281', 'source_31922457', 'sink_10287', 'sink_10284', 'sink_10282']",916.0009747857874,2402.1382254440077,6,source_id_31922462,sink_id_10282
31922462,10283,"['source_31922462', 'sink_10281', 'sink_10283']",456.1902580450833,751.0005965641984,3,source_id_31922462,sink_id_10283
31922462,10284,"['source_31922462', 'sink_10281', 'source_31922457', 'sink_10287', 'sink_10284']",831.4521150035237,1979.3939265326887,5,source_id_31922462,sink_id_10284
31922462,10285,"['source_31922462', 'sink_10281', 'sink_10283', 'sink_10285']",677.0508739598674,1413.5824443085507,4,source_id_31922462,sink_id_10285
31922462,10286,"['source_31922462', 'sink_10281', 'source_31922457', 'sink_10286']",685.9233106396763,1397.2072021298375,4,source_id_31922462,sink_id_10286
31922462,10287,"['source_31922462', 'sink_10281', 'source_31922457', 'sink_10287']",685.8518036922143,1396.9926812874514,4,source_id_31922462,sink_id_10287
31922458,10273,"['source_31922458', 'source_31922459', 'sink_10273']",1050.8062393201026,1859.9495615885714,3,source_id_31922458,sink_id_10273
31922458,10274,"['source_31922458', 'source_31922459', 'sink_10274']",1098.8588103509953,1956.054703650357,3,source_id_31922458,sink_id_10274
31922458,10275,"['source_31922458', 'source_31922459', 'sink_10275']",1057.2032878648101,1872.7436586779868,3,source_id_31922458,sink_id_10275
31922458,10276,"['source_31922458', 'sink_10278', 'sink_10276']",537.3301352588674,674.9772144672563,3,source_id_31922458,sink_id_10276
31922458,10277,"['source_31922458', 'sink_10278', 'sink_10277']",537.254748371889,674.8264406932998,3,source_id_31922458,sink_id_10277
31922458,10278,"['source_31922458', 'sink_10278']",399.6830560504783,399.6830560504783,2,source_id_31922458,sink_id_10278
31922458,10279,"['source_31922458', 'sink_10278', 'sink_10277', 'sink_10279']",646.2952105125265,1001.9478271152122,4,source_id_31922458,sink_id_10279
31922458,10280,"['source_31922458', 'sink_10278', 'sink_10277', 'sink_10280']",646.3269672212223,1002.0430972412996,4,source_id_31922458,sink_id_10280
31922458,10281,"['source_31922458', 'sink_10278', 'sink_10277', 'sink_10279', 'source_31922457', 'source_31922462', 'sink_10281']",1001.8714099761767,2582.4075795725435,7,source_id_31922458,sink_id_10281
31922458,10282,"['source_31922458', 'source_31922460', 'sink_10282']",499.83643389106857,859.4630517656126,3,source_id_31922458,sink_id_10282
31922458,10283,"['source_31922458', 'sink_10278', 'sink_10277', 'sink_10280', 'sink_10283']",937.3542096154927,2166.152066818381,5,source_id_31922458,sink_id_10283
31922458,10284,"['source_31922458', 'source_31922460', 'sink_10282', 'sink_10284']",640.7512001948415,1282.2073506769316,4,source_id_31922458,sink_id_10284
31922458,10285,"['source_31922458', 'source_31922459', 'sink_10285']",953.7460831277376,1665.8292492038415,3,source_id_31922458,sink_id_10285
31922458,10286,"['source_31922458', 'sink_10278', 'sink_10277', 'sink_10279', 'sink_10286']",768.5343821955007,1490.9045138471092,5,source_id_31922458,sink_id_10286
31922458,10287,"['source_31922458', 'sink_10278', 'sink_10277', 'sink_10279', 'sink_10287']",768.5146178323364,1490.825456394452,5,source_id_31922458,sink_id_10287
31922457,10273,"['source_31922457', 'sink_10287', 'sink_10286', 'sink_10279', 'sink_10276', 'sink_10282', 'sink_10273']",1225.2514778661425,3857.271557781773,7,source_id_31922457,sink_id_10273
31922457,10274,"['source_31922457', 'sink_10287', 'sink_10286', 'sink_10279', 'sink_10278', 'source_31922458', 'source_31922460', 'sink_10274']",1237.0591831992513,4057.931586173716,8,source_id_31922457,sink_id_10274
31922457,10275,"['source_31922457', 'sink_10287', 'sink_10286', 'sink_10279', 'sink_10276', 'sink_10282', 'sink_10275']",1220.4611657147645,3828.5296848735047,7,source_id_31922457,sink_id_10275
31922457,10276,"['source_31922457', 'sink_10287', 'sink_10286', 'sink_10279', 'sink_10276']",804.9436062186838,1376.47412266836,5,source_id_31922457,sink_id_10276
