index,flow_name
"(31922462, 10273)",Flow_from_31922462_to_10273
"(31922462, 10274)",Flow_from_31922462_to_10274
"(31922462, 10275)",Flow_from_31922462_to_10275
"(31922462, 10276)",Flow_from_31922462_to_10276
"(31922462, 10277)",Flow_from_31922462_to_10277
"(31922462, 10278)",Flow_from_31922462_to_10278
"(31922462, 10279)",Flow_from_31922462_to_10279
"(31922462, 10280)",Flow_from_31922462_to_10280
"(31922462, 10281)",Flow_from_31922462_to_10281
"(31922462, 10282)",Flow_from_31922462_to_10282
"(31922462, 10283)",Flow_from_31922462_to_10283
"(31922462, 10284)",Flow_from_31922462_to_10284
"(31922462, 10285)",Flow_from_31922462_to_10285
"(31922462, 10286)",Flow_from_31922462_to_10286
"(31922462, 10287)",Flow_from_31922462_to_10287
"(31922458, 10273)",Flow_from_31922458_to_10273
"(31922458, 10274)",Flow_from_31922458_to_10274
"(31922458, 10275)",Flow_from_31922458_to_10275
"(31922458, 10276)",Flow_from_31922458_to_10276
"(31922458, 10277)",Flow_from_31922458_to_10277
"(31922458, 10278)",Flow_from_31922458_to_10278
"(31922458, 10279)",Flow_from_31922458_to_10279
"(31922458, 10280)",Flow_from_31922458_to_10280
"(31922458, 10281)",Flow_from_31922458_to_10281
"(31922458, 10282)",Flow_from_31922458_to_10282
"(31922458, 10283)",Flow_from_31922458_to_10283
"(31922458, 10284)",Flow_from_31922458_to_10284
"(31922458, 10285)",Flow_from_31922458_to_10285
"(31922458, 10286)",Flow_from_31922458_to_10286
"(31922458, 10287)",Flow_from_31922458_to_10287
"(31922457, 10273)",Flow_from_31922457_to_10273
"(31922457, 10274)",Flow_from_31922457_to_10274
"(31922457, 10275)",Flow_from_31922457_to_10275
"(31922457, 10276)",Flow_from_31922457_to_10276
"(31922457, 10277)",Flow_from_31922457_to_10277
"(31922457, 10278)",Flow_from_31922457_to_10278
"(31922457, 10279)",Flow_from_31922457_to_10279
"(31922457, 10280)",Flow_from_31922457_to_10280
"(31922457, 10281)",Flow_from_31922457_to_10281
"(31922457, 10282)",Flow_from_31922457_to_10282
"(31922457, 10283)",Flow_from_31922457_to_10283
"(31922457, 10284)",Flow_from_31922457_to_10284
"(31922457, 10285)",Flow_from_31922457_to_10285
"(31922457, 10286)",Flow_from_31922457_to_10286
"(31922457, 10287)",Flow_from_31922457_to_10287
"(31922461, 10273)",Flow_from_31922461_to_10273
"(31922461, 10274)",Flow_from_31922461_to_10274
"(31922461, 10275)",Flow_from_31922461_to_10275
"(31922461, 10276)",Flow_from_31922461_to_10276
"(31922461, 10277)",Flow_from_31922461_to_10277
"(31922461, 10278)",Flow_from_31922461_to_10278
"(31922461, 10279)",Flow_from_31922461_to_10279
"(31922461, 10280)",Flow_from_31922461_to_10280
"(31922461, 10281)",Flow_from_31922461_to_10281
"(31922461, 10282)",Flow_from_31922461_to_10282
"(31922461, 10283)",Flow_from_31922461_to_10283
"(31922461, 10284)",Flow_from_31922461_to_10284
"(31922461, 10285)",Flow_from_31922461_to_10285
"(31922461, 10286)",Flow_from_31922461_to_10286
"(31922461, 10287)",Flow_from_31922461_to_10287
"(31922459, 10273)",Flow_from_31922459_to_10273
"(31922459, 10274)",Flow_from_31922459_to_10274
"(31922459, 10275)",Flow_from_31922459_to_10275
"(31922459, 10276)",Flow_from_31922459_to_10276
"(31922459, 10277)",Flow_from_31922459_to_10277
"(31922459, 10278)",Flow_from_31922459_to_10278
"(31922459, 10279)",Flow_from_31922459_to_10279
"(31922459, 10280)",Flow_from_31922459_to_10280
"(31922459, 10281)",Flow_from_31922459_to_10281
"(31922459, 10282)",Flow_from_31922459_to_10282
"(31922459, 10283)",Flow_from_31922459_to_10283
"(31922459, 10284)",Flow_from_31922459_to_10284
"(31922459, 10285)",Flow_from_31922459_to_10285
"(31922459, 10286)",Flow_from_31922459_to_10286
"(31922459, 10287)",Flow_from_31922459_to_10287
"(31922460, 10273)",Flow_from_31922460_to_10273
"(31922460, 10274)",Flow_from_31922460_to_10274
"(31922460, 10275)",Flow_from_31922460_to_10275
"(31922460, 10276)",Flow_from_31922460_to_10276
"(31922460, 10277)",Flow_from_31922460_to_10277
"(31922460, 10278)",Flow_from_31922460_to_10278
"(31922460, 10279)",Flow_from_31922460_to_10279
"(31922460, 10280)",Flow_from_31922460_to_10280
"(31922460, 10281)",Flow_from_31922460_to_10281
"(31922460, 10282)",Flow_from_31922460_to_10282
"(31922460, 10283)",Flow_from_31922460_to_10283
"(31922460, 10284)",Flow_from_31922460_to_10284
"(31922460, 10285)",Flow_from_31922460_to_10285
"(31922460, 10286)",Flow_from_31922460_to_10286
"(31922460, 10287)",Flow_from_31922460_to_10287
