,,path,adjusted_distance,actual_distance,hop_count,source_id,sink_id
1896976,10273,"['source_1896976', 'source_1897097', 'source_1896949', 'source_1897024', 'source_32438546', 'source_1897108', 'source_1897007', 'source_1897127', 'source_1896942', 'source_1896974', 'source_32438593', 'source_42547386', 'source_1897070', 'source_1897046', 'source_1896989', 'source_32438580', 'source_1896927', 'source_1897118', 'sink_10273']",219.0341569473128,2161.8213374641473,19,source_id_1896976,sink_id_10273
1896976,10274,"['source_1896976', 'source_1897097', 'source_1896949', 'source_1897024', 'source_32438546', 'source_1897108', 'source_1897007', 'source_1897127', 'source_1896942', 'source_1896974', 'source_32438593', 'source_42547386', 'source_1897070', 'source_1897046', 'source_1896989', 'source_32438580', 'source_1896927', 'source_1897118', 'source_1896912', 'sink_10274']",229.02867208691012,2349.7995817836404,20,source_id_1896976,sink_id_10274
1896976,10275,"['source_1896976', 'source_1897097', 'source_1896949', 'source_1897024', 'source_32438546', 'source_1897108', 'source_1897007', 'source_1897127', 'source_1896942', 'source_1896974', 'source_32438593', 'source_42547386', 'source_1897131', 'sink_10285', 'sink_10275']",210.75484709933215,1893.0783050971904,15,source_id_1896976,sink_id_10275
1896976,10276,"['source_1896976', 'source_1897097', 'source_1896949', 'source_1897024', 'source_32438546', 'source_1897108', 'source_1897007', 'source_1897127', 'source_1896942', 'source_1896974', 'source_32438593', 'source_42547386', 'source_1897074', 'source_42547307', 'source_1896954', 'source_1896963', 'sink_10276']",197.02251646811484,1665.2366991620352,17,source_id_1896976,sink_id_10276
1896976,10277,"['source_1896976', 'source_1897097', 'source_1896949', 'source_1897024', 'source_32438546', 'source_1897108', 'source_1897007', 'source_1897127', 'source_1896942', 'source_1896974', 'source_32438593', 'source_42547386', 'source_1897074', 'source_42547307', 'source_1896954', 'source_1896963', 'sink_10277']",197.00700206431947,1664.9884687013093,17,source_id_1896976,sink_id_10277
1896976,10278,"['source_1896976', 'source_1897097', 'source_1896949', 'source_1897024', 'source_32438546', 'source_1897108', 'source_1897007', 'source_1897127', 'source_1896942', 'source_1896974', 'source_32438593', 'source_42547386', 'source_1897066', 'source_1896959', 'source_1897013', 'source_1897061', 'source_1897012', 'source_1897069', 'sink_10278']",203.21922473627532,1737.752750682753,19,source_id_1896976,sink_id_10278
1896976,10279,"['source_1896976', 'source_1897060', 'source_32438585', 'source_1896985', 'source_1897101', 'source_32438552', 'source_1896932', 'sink_10279']",178.54672679341286,991.000308231029,8,source_id_1896976,sink_id_10279
1896976,10280,"['source_1896976', 'source_1897060', 'source_32438585', 'source_1896985', 'source_1897101', 'source_32438552', 'source_1896932', 'sink_10280']",178.5329919052591,990.9041640139526,8,source_id_1896976,sink_id_10280
1896976,10281,"['source_1896976', 'source_1897060', 'source_32438585', 'source_1896985', 'source_32438646', 'source_32438652', 'source_1896929', 'source_1896948', 'source_32438540', 'source_42547427', 'source_1896924', 'sink_10281']",147.77501180836597,878.8587433954547,12,source_id_1896976,sink_id_10281
1896976,10282,"['source_1896976', 'source_1897097', 'source_1896949', 'source_1897024', 'source_32438546', 'source_1897108', 'source_1897007', 'source_1897127', 'source_1896942', 'source_1896974', 'source_32438593', 'source_42547386', 'source_1897074', 'source_42547307', 'source_1896954', 'source_1896963', 'sink_10282']",208.9976487930589,1856.83881636114,17,source_id_1896976,sink_id_10282
