,,path,adjusted_distance,actual_distance,hop_count,source_id,sink_id
31922464,11033,"['source_31922464', 'source_31922465', 'sink_11056', 'sink_11033']",163.41946608566155,254.7112675214425,4,source_id_31922464,sink_id_11033
31922464,11034,"['source_31922464', 'source_31922465', 'sink_11056', 'sink_11033', 'sink_11034']",194.20669753510512,377.86019331921676,5,source_id_31922464,sink_id_11034
31922464,11035,"['source_31922464', 'source_31922465', 'sink_11056', 'sink_11033', 'sink_11034', 'sink_11035']",203.06306993467106,422.1420553170465,6,source_id_31922464,sink_id_11035
31922464,11036,"['source_31922464', 'source_31922465', 'sink_11056', 'sink_11033', 'sink_11034', 'sink_11035', 'sink_11036']",214.65292493297216,491.68118530685314,7,source_id_31922464,sink_id_11036
31922464,11037,"['source_31922464', 'source_31922465', 'sink_11056', 'sink_11033', 'sink_11034', 'sink_11035', 'sink_11047', 'sink_11037']",223.40634950175297,553.4854630957104,8,source_id_31922464,sink_id_11037
31922464,11038,"['source_31922464', 'source_31922465', 'sink_11056', 'sink_11033', 'sink_11034', 'sink_11035', 'sink_11036', 'sink_11050', 'sink_11051', 'sink_11038']",231.820074326928,634.8955161928569,10,source_id_31922464,sink_id_11038
31922464,11039,"['source_31922464', 'source_31922465', 'sink_11056', 'sink_11033', 'sink_11034', 'sink_11035', 'sink_11036', 'sink_11050', 'sink_11051', 'sink_11038', 'sink_11039']",241.12426219582494,727.9373948818265,11,source_id_31922464,sink_id_11039
31922464,11040,"['source_31922464', 'source_31922465', 'sink_11056', 'sink_11033', 'sink_11034', 'sink_11035', 'sink_11036', 'sink_11050', 'sink_11051', 'sink_11038', 'sink_11067', 'sink_11071', 'sink_11044', 'sink_11048', 'sink_11040']",267.3213715258946,1060.3543877680563,15,source_id_31922464,sink_id_11040
31922464,11041,"['source_31922464', 'source_31922465', 'sink_11056', 'sink_11033', 'sink_11034', 'sink_11035', 'sink_11036', 'sink_11050', 'sink_11051', 'sink_11038', 'sink_11067', 'sink_11071', 'sink_11044', 'sink_11041']",273.02135828867364,1133.0989105535452,14,source_id_31922464,sink_id_11041
31922464,11042,"['source_31922464', 'source_31922465', 'sink_11056', 'sink_11033', 'sink_11034', 'sink_11035', 'sink_11036', 'sink_11050', 'sink_11051', 'sink_11038', 'sink_11067', 'sink_11071', 'sink_11044', 'sink_11045', 'sink_11046', 'sink_11053', 'sink_11042']",282.04928707652857,1289.1302867796658,17,source_id_31922464,sink_id_11042
