,,path,adjusted_distance,actual_distance,hop_count,source_id,sink_id
25450168,10714,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_715163', 'source_447398', 'sink_10714']",438.9496242588199,1763.0816233211008,7,source_id_25450168,sink_id_10714
25450168,10715,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_715163', 'source_447398', 'sink_10715']",438.9496242588199,1763.0816233211008,7,source_id_25450168,sink_id_10715
25450168,10716,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_715163', 'source_447398', 'sink_10716']",438.9496242588199,1763.0816233211008,7,source_id_25450168,sink_id_10716
25450168,10717,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_715163', 'source_447398', 'sink_10717']",438.9496242588199,1763.0816233211008,7,source_id_25450168,sink_id_10717
25450168,10718,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_715163', 'source_447398', 'sink_10718']",438.9496242588199,1763.0816233211008,7,source_id_25450168,sink_id_10718
25450168,10719,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_715163', 'source_447398', 'sink_10719']",438.9496242588199,1763.0816233211008,7,source_id_25450168,sink_id_10719
25450168,10720,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_715163', 'source_447398', 'sink_10720']",438.9496242588199,1763.0816233211008,7,source_id_25450168,sink_id_10720
25450168,10721,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_448389', 'source_25454894', 'source_25453736', 'sink_10721']",505.1846996816323,2429.7543126178953,8,source_id_25450168,sink_id_10721
25450168,10722,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_448389', 'source_25454894', 'source_25453736', 'sink_10722']",505.1846996816323,2429.7543126178953,8,source_id_25450168,sink_id_10722
25450168,10723,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_448389', 'source_25454894', 'source_25453736', 'sink_10723']",505.1846996816323,2429.7543126178953,8,source_id_25450168,sink_id_10723
25450168,10724,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_448389', 'sink_10724']",319.72084739475616,1166.1368416808316,6,source_id_25450168,sink_id_10724
25450168,10725,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_448389', 'sink_10725']",319.72084739475616,1166.1368416808316,6,source_id_25450168,sink_id_10725
25450168,10726,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_448389', 'sink_10724', 'sink_10726']",473.7705410059342,2090.4350033478995,7,source_id_25450168,sink_id_10726
25450168,10727,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_448389', 'sink_10724', 'sink_10727']",473.7705410059342,2090.4350033478995,7,source_id_25450168,sink_id_10727
25450168,10728,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_448389', 'sink_10724', 'sink_10728']",473.7705410059342,2090.4350033478995,7,source_id_25450168,sink_id_10728
25450168,10729,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_448388', 'sink_10729']",308.22228023813364,1160.921182203067,6,source_id_25450168,sink_id_10729
25450168,10730,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_448388', 'sink_10730']",308.22228023813364,1160.921182203067,6,source_id_25450168,sink_id_10730
25450168,10731,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_448388', 'sink_10731']",308.22228023813364,1160.921182203067,6,source_id_25450168,sink_id_10731
25450168,10732,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_25450201', 'sink_10732']",235.77817370393115,838.3287334992667,6,source_id_25450168,sink_id_10732
25450168,10733,"['source_25450168', 'source_25450638', 'source_25451202', 'source_448829', 'source_25450201', 'sink_10733']",235.77817370393115,838.3287334992667,6,source_id_25450168,sink_id_10733
25451202,10714,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'sink_10714']",341.149835312704,1887.708913177446,9,source_id_25451202,sink_id_10714
25451202,10715,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'sink_10715']",341.149835312704,1887.708913177446,9,source_id_25451202,sink_id_10715
25451202,10716,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'sink_10716']",341.149835312704,1887.708913177446,9,source_id_25451202,sink_id_10716
25451202,10717,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'sink_10717']",341.149835312704,1887.708913177446,9,source_id_25451202,sink_id_10717
25451202,10718,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'sink_10718']",341.149835312704,1887.708913177446,9,source_id_25451202,sink_id_10718
25451202,10719,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'sink_10719']",341.149835312704,1887.708913177446,9,source_id_25451202,sink_id_10719
25451202,10720,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'sink_10720']",341.149835312704,1887.708913177446,9,source_id_25451202,sink_id_10720
25451202,10721,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'sink_10721']",382.7912820741651,2220.8404872691353,9,source_id_25451202,sink_id_10721
25451202,10722,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'sink_10722']",382.7912820741651,2220.8404872691353,9,source_id_25451202,sink_id_10722
25451202,10723,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'sink_10723']",382.7912820741651,2220.8404872691353,9,source_id_25451202,sink_id_10723
25451202,10724,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724']",241.97231036920581,1094.2887136294607,8,source_id_25451202,sink_id_10724
25451202,10725,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10725']",241.97231036920581,1094.2887136294607,8,source_id_25451202,sink_id_10725
25451202,10726,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'sink_10726']",357.5095805775893,2018.586875296529,9,source_id_25451202,sink_id_10726
25451202,10727,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'sink_10727']",357.5095805775893,2018.586875296529,9,source_id_25451202,sink_id_10727
25451202,10728,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'sink_10728']",357.5095805775893,2018.586875296529,9,source_id_25451202,sink_id_10728
25451202,10729,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'sink_10729']",243.59099148488974,1075.0486743135266,7,source_id_25451202,sink_id_10729
25451202,10730,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'sink_10730']",243.59099148488974,1075.0486743135266,7,source_id_25451202,sink_id_10730
25451202,10731,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'source_25451191', 'source_25450588', 'sink_10731']",243.59099148488974,1075.0486743135266,7,source_id_25451202,sink_id_10731
25451202,10732,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'sink_10732']",242.23377690220647,857.8452833013912,5,source_id_25451202,sink_id_10732
25451202,10733,"['source_25451202', 'source_448830', 'source_25455505', 'source_25450638', 'sink_10733']",242.23377690220647,857.8452833013912,5,source_id_25451202,sink_id_10733
448400,10714,"['source_448400', 'sink_10729', 'source_25454894', 'source_449826', 'sink_10714']",659.761117513814,1462.7378421063627,5,source_id_448400,sink_id_10714
448400,10715,"['source_448400', 'sink_10729', 'source_25454894', 'source_449826', 'sink_10715']",659.761117513814,1462.7378421063627,5,source_id_448400,sink_id_10715
448400,10716,"['source_448400', 'sink_10729', 'source_25454894', 'source_449826', 'sink_10716']",659.761117513814,1462.7378421063627,5,source_id_448400,sink_id_10716
448400,10717,"['source_448400', 'sink_10729', 'source_25454894', 'source_449826', 'sink_10717']",659.761117513814,1462.7378421063627,5,source_id_448400,sink_id_10717
448400,10718,"['source_448400', 'sink_10729', 'source_25454894', 'source_449826', 'sink_10718']",659.761117513814,1462.7378421063627,5,source_id_448400,sink_id_10718
448400,10719,"['source_448400', 'sink_10729', 'source_25454894', 'source_449826', 'sink_10719']",659.761117513814,1462.7378421063627,5,source_id_448400,sink_id_10719
448400,10720,"['source_448400', 'sink_10729', 'source_25454894', 'source_449826', 'sink_10720']",659.761117513814,1462.7378421063627,5,source_id_448400,sink_id_10720
448400,10721,"['source_448400', 'source_25451204', 'source_25453736', 'sink_10721']",741.6369433329929,1682.0869937366754,4,source_id_448400,sink_id_10721
448400,10722,"['source_448400', 'source_25451204', 'source_25453736', 'sink_10722']",741.6369433329929,1682.0869937366754,4,source_id_448400,sink_id_10722
448400,10723,"['source_448400', 'source_25451204', 'source_25453736', 'sink_10723']",741.6369433329929,1682.0869937366754,4,source_id_448400,sink_id_10723
448400,10724,"['source_448400', 'sink_10729', 'sink_10724']",408.0815009447868,666.8136192890169,3,source_id_448400,sink_id_10724
448400,10725,"['source_448400', 'sink_10729', 'sink_10725']",408.0815009447868,666.8136192890169,3,source_id_448400,sink_id_10725
448400,10726,"['source_448400', 'source_25451204', 'source_25453736', 'sink_10726']",690.4023114017261,1528.3830979428749,4,source_id_448400,sink_id_10726
448400,10727,"['source_448400', 'source_25451204', 'source_25453736', 'sink_10727']",690.4023114017261,1528.3830979428749,4,source_id_448400,sink_id_10727
448400,10728,"['source_448400', 'source_25451204', 'source_25453736', 'sink_10728']",690.4023114017261,1528.3830979428749,4,source_id_448400,sink_id_10728
448400,10729,"['source_448400', 'sink_10729']",149.34938260055674,149.34938260055674,2,source_id_448400,sink_id_10729
448400,10730,"['source_448400', 'sink_10730']",149.34938260055674,149.34938260055674,2,source_id_448400,sink_id_10730
448400,10731,"['source_448400', 'sink_10731']",149.34938260055674,149.34938260055674,2,source_id_448400,sink_id_10731
448400,10732,"['source_448400', 'sink_10729', 'source_449552', 'source_449551', 'sink_10732']",553.4255757315548,1312.2226668271696,5,source_id_448400,sink_id_10732
448400,10733,"['source_448400', 'sink_10729', 'source_449552', 'source_449551', 'sink_10733']",553.4255757315548,1312.2226668271696,5,source_id_448400,sink_id_10733
25450638,10714,"['source_25450638', 'source_25450168', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'source_449826', 'sink_10714']",442.8311907941621,1757.215735872777,8,source_id_25450638,sink_id_10714
25450638,10715,"['source_25450638', 'source_25450168', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'source_449826', 'sink_10715']",442.8311907941621,1757.215735872777,8,source_id_25450638,sink_id_10715
25450638,10716,"['source_25450638', 'source_25450168', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'source_449826', 'sink_10716']",442.8311907941621,1757.215735872777,8,source_id_25450638,sink_id_10716
25450638,10717,"['source_25450638', 'source_25450168', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'source_449826', 'sink_10717']",442.8311907941621,1757.215735872777,8,source_id_25450638,sink_id_10717
25450638,10718,"['source_25450638', 'source_25450168', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'source_449826', 'sink_10718']",442.8311907941621,1757.215735872777,8,source_id_25450638,sink_id_10718
25450638,10719,"['source_25450638', 'source_25450168', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'source_449826', 'sink_10719']",442.8311907941621,1757.215735872777,8,source_id_25450638,sink_id_10719
25450638,10720,"['source_25450638', 'source_25450168', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'source_449826', 'sink_10720']",442.8311907941621,1757.215735872777,8,source_id_25450638,sink_id_10720
25450638,10721,"['source_25450638', 'source_25450168', 'source_25451191', 'source_25450588', 'source_448389', 'source_25454894', 'source_25453736', 'sink_10721']",498.72252749597374,2222.719278951071,8,source_id_25450638,sink_id_10721
25450638,10722,"['source_25450638', 'source_25450168', 'source_25451191', 'source_25450588', 'source_448389', 'source_25454894', 'source_25453736', 'sink_10722']",498.72252749597374,2222.719278951071,8,source_id_25450638,sink_id_10722
25450638,10723,"['source_25450638', 'source_25450168', 'source_25451191', 'source_25450588', 'source_448389', 'source_25454894', 'source_25453736', 'sink_10723']",498.72252749597374,2222.719278951071,8,source_id_25450638,sink_id_10723
25450638,10724,"['source_25450638', 'source_25450168', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724']",313.2586752090976,959.101808014007,6,source_id_25450638,sink_id_10724
25450638,10725,"['source_25450638', 'source_25450168', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10725']",313.2586752090976,959.101808014007,6,source_id_25450638,sink_id_10725
25450638,10726,"['source_25450638', 'source_25450168', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'sink_10726']",467.30836882027563,1883.3999696810752,7,source_id_25450638,sink_id_10726
25450638,10727,"['source_25450638', 'source_25450168', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'sink_10727']",467.30836882027563,1883.3999696810752,7,source_id_25450638,sink_id_10727
25450638,10728,"['source_25450638', 'source_25450168', 'source_25451191', 'source_25450588', 'source_448389', 'sink_10724', 'sink_10728']",467.30836882027563,1883.3999696810752,7,source_id_25450638,sink_id_10728
25450638,10729,"['source_25450638', 'source_25450168', 'source_25451202', 'source_448829', 'source_448388', 'sink_10729']",313.0293306256464,1170.5352829780927,6,source_id_25450638,sink_id_10729
25450638,10730,"['source_25450638', 'source_25450168', 'source_25451202', 'source_448829', 'source_448388', 'sink_10730']",313.0293306256464,1170.5352829780927,6,source_id_25450638,sink_id_10730
25450638,10731,"['source_25450638', 'source_25450168', 'source_25451202', 'source_448829', 'source_448388', 'sink_10731']",313.0293306256464,1170.5352829780927,6,source_id_25450638,sink_id_10731
25450638,10732,"['source_25450638', 'source_25450168', 'source_25451202', 'source_448829', 'source_25450201', 'sink_10732']",240.58522409144393,847.9428342742923,6,source_id_25450638,sink_id_10732
25450638,10733,"['source_25450638', 'source_25450168', 'source_25451202', 'source_448829', 'source_25450201', 'sink_10733']",240.58522409144393,847.9428342742923,6,source_id_25450638,sink_id_10733
25453843,10714,"['source_25453843', 'source_451034', 'sink_10721', 'source_449842', 'source_450641', 'sink_10714']",227.74949811332533,784.8386162551509,6,source_id_25453843,sink_id_10714
25453843,10715,"['source_25453843', 'source_451034', 'sink_10721', 'source_449842', 'source_450641', 'sink_10715']",227.74949811332533,784.8386162551509,6,source_id_25453843,sink_id_10715
25453843,10716,"['source_25453843', 'source_451034', 'sink_10721', 'source_449842', 'source_450641', 'sink_10716']",227.74949811332533,784.8386162551509,6,source_id_25453843,sink_id_10716
25453843,10717,"['source_25453843', 'source_451034', 'sink_10721', 'source_449842', 'source_450641', 'sink_10717']",227.74949811332533,784.8386162551509,6,source_id_25453843,sink_id_10717
25453843,10718,"['source_25453843', 'source_451034', 'sink_10721', 'source_449842', 'source_450641', 'sink_10718']",227.74949811332533,784.8386162551509,6,source_id_25453843,sink_id_10718
25453843,10719,"['source_25453843', 'source_451034', 'sink_10721', 'source_449842', 'source_450641', 'sink_10719']",227.74949811332533,784.8386162551509,6,source_id_25453843,sink_id_10719
25453843,10720,"['source_25453843', 'source_451034', 'sink_10721', 'source_449842', 'source_450641', 'sink_10720']",227.74949811332533,784.8386162551509,6,source_id_25453843,sink_id_10720
25453843,10721,"['source_25453843', 'source_451034', 'sink_10721']",43.00902813907211,84.79520410551497,3,source_id_25453843,sink_id_10721
25453843,10722,"['source_25453843', 'source_451034', 'sink_10722']",43.00902813907211,84.79520410551497,3,source_id_25453843,sink_id_10722
25453843,10723,"['source_25453843', 'source_451034', 'sink_10723']",43.00902813907211,84.79520410551497,3,source_id_25453843,sink_id_10723
25453843,10724,"['source_25453843', 'source_451034', 'sink_10721', 'source_449842', 'source_450641', 'source_449826', 'sink_10724']",342.3053140145464,1466.5113769979384,7,source_id_25453843,sink_id_10724
25453843,10725,"['source_25453843', 'source_451034', 'sink_10721', 'source_449842', 'source_450641', 'source_449826', 'sink_10725']",342.3053140145464,1466.5113769979384,7,source_id_25453843,sink_id_10725
25453843,10726,"['source_25453843', 'source_451034', 'sink_10721', 'sink_10726']",146.28833276167663,394.6331179733286,4,source_id_25453843,sink_id_10726
25453843,10727,"['source_25453843', 'source_451034', 'sink_10721', 'sink_10727']",146.28833276167663,394.6331179733286,4,source_id_25453843,sink_id_10727
25453843,10728,"['source_25453843', 'source_451034', 'sink_10721', 'sink_10728']",146.28833276167663,394.6331179733286,4,source_id_25453843,sink_id_10728
25453843,10729,"['source_25453843', 'source_451034', 'sink_10721', 'source_449842', 'source_450641', 'source_449826', 'source_25454894', 'sink_10729']",416.0875118917364,1981.7859086449741,8,source_id_25453843,sink_id_10729
25453843,10730,"['source_25453843', 'source_451034', 'sink_10721', 'source_449842', 'source_450641', 'source_449826', 'source_25454894', 'sink_10730']",416.0875118917364,1981.7859086449741,8,source_id_25453843,sink_id_10730
25453843,10731,"['source_25453843', 'source_451034', 'sink_10721', 'source_449842', 'source_450641', 'source_449826', 'source_25454894', 'sink_10731']",416.0875118917364,1981.7859086449741,8,source_id_25453843,sink_id_10731
25453843,10732,"['source_25453843', 'source_451034', 'sink_10721', 'source_449842', 'source_450641', 'sink_10714', 'source_447398', 'source_4409282', 'source_25457263', 'source_25451192', 'source_25451191', 'sink_10732']",490.5859006754115,2880.630515014534,12,source_id_25453843,sink_id_10732
25453843,10733,"['source_25453843', 'source_451034', 'sink_10721', 'source_449842', 'source_450641', 'sink_10714', 'source_447398', 'source_4409282', 'source_25457263', 'source_25451192', 'source_25451191', 'sink_10733']",490.5859006754115,2880.630515014534,12,source_id_25453843,sink_id_10733
451034,10714,"['source_451034', 'source_25453843', 'sink_10721', 'source_449842', 'source_450641', 'sink_10714']",227.228332520529,783.7962850695583,6,source_id_451034,sink_id_10714
451034,10715,"['source_451034', 'source_25453843', 'sink_10721', 'source_449842', 'source_450641', 'sink_10715']",227.228332520529,783.7962850695583,6,source_id_451034,sink_id_10715
451034,10716,"['source_451034', 'source_25453843', 'sink_10721', 'source_449842', 'source_450641', 'sink_10716']",227.228332520529,783.7962850695583,6,source_id_451034,sink_id_10716
451034,10717,"['source_451034', 'source_25453843', 'sink_10721', 'source_449842', 'source_450641', 'sink_10717']",227.228332520529,783.7962850695583,6,source_id_451034,sink_id_10717
451034,10718,"['source_451034', 'source_25453843', 'sink_10721', 'source_449842', 'source_450641', 'sink_10718']",227.228332520529,783.7962850695583,6,source_id_451034,sink_id_10718
451034,10719,"['source_451034', 'source_25453843', 'sink_10721', 'source_449842', 'source_450641', 'sink_10719']",227.228332520529,783.7962850695583,6,source_id_451034,sink_id_10719
451034,10720,"['source_451034', 'source_25453843', 'sink_10721', 'source_449842', 'source_450641', 'sink_10720']",227.228332520529,783.7962850695583,6,source_id_451034,sink_id_10720
451034,10721,"['source_451034', 'source_25453843', 'sink_10721']",42.48786254627577,83.7528729199223,3,source_id_451034,sink_id_10721
451034,10722,"['source_451034', 'source_25453843', 'sink_10722']",42.48786254627577,83.7528729199223,3,source_id_451034,sink_id_10722
451034,10723,"['source_451034', 'source_25453843', 'sink_10723']",42.48786254627577,83.7528729199223,3,source_id_451034,sink_id_10723
451034,10724,"['source_451034', 'source_25453843', 'sink_10721', 'source_449842', 'source_450641', 'source_449826', 'sink_10724']",341.7841484217501,1465.4690458123457,7,source_id_451034,sink_id_10724
451034,10725,"['source_451034', 'source_25453843', 'sink_10721', 'source_449842', 'source_450641', 'source_449826', 'sink_10725']",341.7841484217501,1465.4690458123457,7,source_id_451034,sink_id_10725
451034,10726,"['source_451034', 'source_25453843', 'sink_10721', 'sink_10726']",145.7671671688803,393.5907867877359,4,source_id_451034,sink_id_10726
451034,10727,"['source_451034', 'source_25453843', 'sink_10721', 'sink_10727']",145.7671671688803,393.5907867877359,4,source_id_451034,sink_id_10727
451034,10728,"['source_451034', 'source_25453843', 'sink_10721', 'sink_10728']",145.7671671688803,393.5907867877359,4,source_id_451034,sink_id_10728
451034,10729,"['source_451034', 'source_25453843', 'sink_10721', 'source_449842', 'source_450641', 'source_449826', 'source_25454894', 'sink_10729']",415.56634629894006,1980.7435774593814,8,source_id_451034,sink_id_10729
451034,10730,"['source_451034', 'source_25453843', 'sink_10721', 'source_449842', 'source_450641', 'source_449826', 'source_25454894', 'sink_10730']",415.56634629894006,1980.7435774593814,8,source_id_451034,sink_id_10730
451034,10731,"['source_451034', 'source_25453843', 'sink_10721', 'source_449842', 'source_450641', 'source_449826', 'source_25454894', 'sink_10731']",415.56634629894006,1980.7435774593814,8,source_id_451034,sink_id_10731
451034,10732,"['source_451034', 'source_25453843', 'sink_10721', 'source_449842', 'source_450641', 'sink_10714', 'source_447398', 'source_4409282', 'source_25457263', 'source_25451192', 'source_25451191', 'sink_10732']",490.06473508261513,2879.5881838289415,12,source_id_451034,sink_id_10732
451034,10733,"['source_451034', 'source_25453843', 'sink_10721', 'source_449842', 'source_450641', 'sink_10714', 'source_447398', 'source_4409282', 'source_25457263', 'source_25451192', 'source_25451191', 'sink_10733']",490.06473508261513,2879.5881838289415,12,source_id_451034,sink_id_10733
449842,10714,"['source_449842', 'source_450641', 'sink_10726', 'sink_10714']",156.02166035797947,438.0892804254289,4,source_id_449842,sink_id_10714
449842,10715,"['source_449842', 'source_450641', 'sink_10726', 'sink_10715']",156.02166035797947,438.0892804254289,4,source_id_449842,sink_id_10715
449842,10716,"['source_449842', 'source_450641', 'sink_10726', 'sink_10716']",156.02166035797947,438.0892804254289,4,source_id_449842,sink_id_10716
449842,10717,"['source_449842', 'source_450641', 'sink_10726', 'sink_10717']",156.02166035797947,438.0892804254289,4,source_id_449842,sink_id_10717
449842,10718,"['source_449842', 'source_450641', 'sink_10726', 'sink_10718']",156.02166035797947,438.0892804254289,4,source_id_449842,sink_id_10718
449842,10719,"['source_449842', 'source_450641', 'sink_10726', 'sink_10719']",156.02166035797947,438.0892804254289,4,source_id_449842,sink_id_10719
449842,10720,"['source_449842', 'source_450641', 'sink_10726', 'sink_10720']",156.02166035797947,438.0892804254289,4,source_id_449842,sink_id_10720
449842,10721,"['source_449842', 'source_450641', 'sink_10726', 'sink_10721']",130.31823935324735,360.9790174112326,4,source_id_449842,sink_id_10721
449842,10722,"['source_449842', 'source_450641', 'sink_10726', 'sink_10722']",130.31823935324735,360.9790174112326,4,source_id_449842,sink_id_10722
449842,10723,"['source_449842', 'source_450641', 'sink_10726', 'sink_10723']",130.31823935324735,360.9790174112326,4,source_id_449842,sink_id_10723
449842,10724,"['source_449842', 'source_450641', 'sink_10726', 'source_449826', 'sink_10724']",323.1454244630148,1102.8010945955575,5,source_id_449842,sink_id_10724
449842,10725,"['source_449842', 'source_450641', 'sink_10726', 'source_449826', 'sink_10725']",323.1454244630148,1102.8010945955575,5,source_id_449842,sink_id_10725
449842,10726,"['source_449842', 'source_450641', 'sink_10726']",27.03893473064283,51.14110354341895,3,source_id_449842,sink_id_10726
449842,10727,"['source_449842', 'source_450641', 'sink_10727']",27.03893473064283,51.14110354341895,3,source_id_449842,sink_id_10727
449842,10728,"['source_449842', 'source_450641', 'sink_10728']",27.03893473064283,51.14110354341895,3,source_id_449842,sink_id_10728
449842,10729,"['source_449842', 'source_450641', 'sink_10726', 'source_449826', 'source_25454894', 'sink_10729']",426.56058684041017,1618.0756262425934,6,source_id_449842,sink_id_10729
449842,10730,"['source_449842', 'source_450641', 'sink_10726', 'source_449826', 'source_25454894', 'sink_10730']",426.56058684041017,1618.0756262425934,6,source_id_449842,sink_id_10730
449842,10731,"['source_449842', 'source_450641', 'sink_10726', 'source_449826', 'source_25454894', 'sink_10731']",426.56058684041017,1618.0756262425934,6,source_id_449842,sink_id_10731
449842,10732,"['source_449842', 'source_450641', 'sink_10726', 'sink_10714', 'source_447398', 'source_4409282', 'source_25457263', 'source_25451192', 'source_25451191', 'sink_10732']",514.1888993162644,2533.8811791848125,10,source_id_449842,sink_id_10732
449842,10733,"['source_449842', 'source_450641', 'sink_10726', 'sink_10714', 'source_447398', 'source_4409282', 'source_25457263', 'source_25451192', 'source_25451191', 'sink_10733']",514.1888993162644,2533.8811791848125,10,source_id_449842,sink_id_10733
25450350,10714,"['source_25450350', 'source_451179', 'source_25450351', 'source_4409282', 'source_25457263', 'source_25451192', 'source_25451191', 'source_448389', 'source_449826', 'sink_10714']",639.7203163846478,2047.2969359232393,10,source_id_25450350,sink_id_10714
25450350,10715,"['source_25450350', 'source_451179', 'source_25450351', 'source_4409282', 'source_25457263', 'source_25451192', 'source_25451191', 'source_448389', 'source_449826', 'sink_10715']",639.7203163846478,2047.2969359232393,10,source_id_25450350,sink_id_10715
25450350,10716,"['source_25450350', 'source_451179', 'source_25450351', 'source_4409282', 'source_25457263', 'source_25451192', 'source_25451191', 'source_448389', 'source_449826', 'sink_10716']",639.7203163846478,2047.2969359232393,10,source_id_25450350,sink_id_10716
