,,path,adjusted_distance,actual_distance,hop_count,source_id,sink_id
1897554,10340,"['source_1897554', 'source_1897552', 'source_32438947', 'source_42546768', 'source_32438940', 'sink_10340']",247.05978322514287,680.7839433507397,6,source_id_1897554,sink_id_10340
1897554,10341,"['source_1897554', 'source_1897552', 'source_32438947', 'source_42546768', 'source_32438940', 'sink_10341']",247.05978322514287,680.7839433507397,6,source_id_1897554,sink_id_10341
1897554,10342,"['source_1897554', 'source_1897552', 'source_32438947', 'source_42546768', 'source_32438940', 'sink_10342']",247.05978322514287,680.7839433507397,6,source_id_1897554,sink_id_10342
1897554,10343,"['source_1897554', 'source_1897552', 'source_32438947', 'source_42546768', 'source_32438940', 'sink_10343']",247.05978322514287,680.7839433507397,6,source_id_1897554,sink_id_10343
1897554,10344,"['source_1897554', 'source_1897552', 'source_32438947', 'source_42546768', 'source_32438940', 'source_32438946', 'source_1897551', 'sink_10344']",373.5160604797449,1642.6277866812052,8,source_id_1897554,sink_id_10344
1897554,10345,"['source_1897554', 'source_1897552', 'source_32438947', 'source_42546768', 'source_32438940', 'sink_10345']",246.1513147634697,676.241601042374,6,source_id_1897554,sink_id_10345
32438944,10340,"['source_32438944', 'source_32438941', 'source_42546768', 'source_32438940', 'sink_10340']",118.5184208758366,411.317798713977,5,source_id_32438944,sink_id_10340
32438944,10341,"['source_32438944', 'source_32438941', 'source_42546768', 'source_32438940', 'sink_10341']",118.5184208758366,411.317798713977,5,source_id_32438944,sink_id_10341
32438944,10342,"['source_32438944', 'source_32438941', 'source_42546768', 'source_32438940', 'sink_10342']",118.5184208758366,411.317798713977,5,source_id_32438944,sink_id_10342
32438944,10343,"['source_32438944', 'source_32438941', 'source_42546768', 'source_32438940', 'sink_10343']",118.5184208758366,411.317798713977,5,source_id_32438944,sink_id_10343
32438944,10344,"['source_32438944', 'source_32438941', 'source_42546768', 'source_32438940', 'source_32438946', 'source_1897551', 'sink_10344']",262.7030461267335,1373.1616420444425,7,source_id_32438944,sink_id_10344
32438944,10345,"['source_32438944', 'source_32438941', 'source_42546768', 'source_32438940', 'sink_10345']",117.38283529874516,406.7754564056114,5,source_id_32438944,sink_id_10345
32438940,10340,"['source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10340']",114.24205434628077,394.374783444537,5,source_id_32438940,sink_id_10340
32438940,10341,"['source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10341']",114.24205434628077,394.374783444537,5,source_id_32438940,sink_id_10341
32438940,10342,"['source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10342']",114.24205434628077,394.374783444537,5,source_id_32438940,sink_id_10342
32438940,10343,"['source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10343']",114.24205434628077,394.374783444537,5,source_id_32438940,sink_id_10343
32438940,10344,"['source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'source_32438946', 'source_1897551', 'sink_10344']",272.34260655299397,1411.8823345982676,7,source_id_32438940,sink_id_10344
32438940,10345,"['source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10345']",112.4351270286012,387.14707417381874,5,source_id_32438940,sink_id_10345
32438946,10340,"['source_32438946', 'source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10340']",216.64675375381438,525.2147558710816,6,source_id_32438946,sink_id_10340
32438946,10341,"['source_32438946', 'source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10341']",216.64675375381438,525.2147558710816,6,source_id_32438946,sink_id_10341
32438946,10342,"['source_32438946', 'source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10342']",216.64675375381438,525.2147558710816,6,source_id_32438946,sink_id_10342
32438946,10343,"['source_32438946', 'source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10343']",216.64675375381438,525.2147558710816,6,source_id_32438946,sink_id_10343
32438946,10344,"['source_32438946', 'source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10340', 'sink_10344']",366.61106147350614,1425.0006021892323,7,source_id_32438946,sink_id_10344
32438946,10345,"['source_32438946', 'source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10345']",215.2012118996707,517.9870466003633,6,source_id_32438946,sink_id_10345
32438947,10340,"['source_32438947', 'source_42546768', 'source_32438940', 'sink_10340']",170.55156240826656,423.8059999537315,4,source_id_32438947,sink_id_10340
32438947,10341,"['source_32438947', 'source_42546768', 'source_32438940', 'sink_10341']",170.55156240826656,423.8059999537315,4,source_id_32438947,sink_id_10341
32438947,10342,"['source_32438947', 'source_42546768', 'source_32438940', 'sink_10342']",170.55156240826656,423.8059999537315,4,source_id_32438947,sink_id_10342
32438947,10343,"['source_32438947', 'source_42546768', 'source_32438940', 'sink_10343']",170.55156240826656,423.8059999537315,4,source_id_32438947,sink_id_10343
32438947,10344,"['source_32438947', 'source_42546768', 'source_32438940', 'source_32438946', 'source_1897551', 'sink_10344']",336.7545544650959,1385.6498432841968,6,source_id_32438947,sink_id_10344
32438947,10345,"['source_32438947', 'source_42546768', 'source_32438940', 'sink_10345']",169.03744830547802,419.2636576453658,4,source_id_32438947,sink_id_10345
1897551,10340,"['source_1897551', 'source_32438946', 'source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10340']",246.04648973516103,636.0603926434918,7,source_id_1897551,sink_id_10340
1897551,10341,"['source_1897551', 'source_32438946', 'source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10341']",246.04648973516103,636.0603926434918,7,source_id_1897551,sink_id_10341
1897551,10342,"['source_1897551', 'source_32438946', 'source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10342']",246.04648973516103,636.0603926434918,7,source_id_1897551,sink_id_10342
1897551,10343,"['source_1897551', 'source_32438946', 'source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10343']",246.04648973516103,636.0603926434918,7,source_id_1897551,sink_id_10343
1897551,10344,"['source_1897551', 'source_32438946', 'source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10340', 'sink_10344']",374.58732492346826,1535.8462389616425,8,source_id_1897551,sink_id_10344
1897551,10345,"['source_1897551', 'source_32438946', 'source_32438940', 'source_42546768', 'source_32438941', 'source_32438944', 'sink_10345']",244.84187152337466,628.8326833727735,7,source_id_1897551,sink_id_10345
32438941,10340,"['source_32438941', 'source_42546768', 'source_32438940', 'sink_10340']",143.02744805685737,396.2818856023223,4,source_id_32438941,sink_id_10340
32438941,10341,"['source_32438941', 'source_42546768', 'source_32438940', 'sink_10341']",143.02744805685737,396.2818856023223,4,source_id_32438941,sink_id_10341
32438941,10342,"['source_32438941', 'source_42546768', 'source_32438940', 'sink_10342']",143.02744805685737,396.2818856023223,4,source_id_32438941,sink_id_10342
32438941,10343,"['source_32438941', 'source_42546768', 'source_32438940', 'sink_10343']",143.02744805685737,396.2818856023223,4,source_id_32438941,sink_id_10343
32438941,10344,"['source_32438941', 'source_42546768', 'source_32438940', 'source_32438946', 'source_1897551', 'sink_10344']",309.23044011368665,1358.1257289327878,6,source_id_32438941,sink_id_10344
32438941,10345,"['source_32438941', 'source_42546768', 'source_32438940', 'sink_10345']",141.51333395406883,391.7395432939566,4,source_id_32438941,sink_id_10345
1897552,10340,"['source_1897552', 'source_1897554', 'source_32438947', 'source_42546768', 'source_32438940', 'sink_10340']",254.2726087471757,695.2095943948053,6,source_id_1897552,sink_id_10340
1897552,10341,"['source_1897552', 'source_1897554', 'source_32438947', 'source_42546768', 'source_32438940', 'sink_10341']",254.2726087471757,695.2095943948053,6,source_id_1897552,sink_id_10341
1897552,10342,"['source_1897552', 'source_1897554', 'source_32438947', 'source_42546768', 'source_32438940', 'sink_10342']",254.2726087471757,695.2095943948053,6,source_id_1897552,sink_id_10342
1897552,10343,"['source_1897552', 'source_1897554', 'source_32438947', 'source_42546768', 'source_32438940', 'sink_10343']",254.2726087471757,695.2095943948053,6,source_id_1897552,sink_id_10343
1897552,10344,"['source_1897552', 'source_1897554', 'source_32438947', 'source_42546768', 'source_32438940', 'source_32438946', 'source_1897551', 'sink_10344']",380.7288860017777,1657.0534377252707,8,source_id_1897552,sink_id_10344
1897552,10345,"['source_1897552', 'source_1897554', 'source_32438947', 'source_42546768', 'source_32438940', 'sink_10345']",253.36414028550257,690.6672520864397,6,source_id_1897552,sink_id_10345
32438948,10340,"['source_32438948', 'sink_10340']",220.18353742605785,220.18353742605785,2,source_id_32438948,sink_id_10340
32438948,10341,"['source_32438948', 'sink_10341']",220.18353742605785,220.18353742605785,2,source_id_32438948,sink_id_10341
32438948,10342,"['source_32438948', 'sink_10342']",220.18353742605785,220.18353742605785,2,source_id_32438948,sink_id_10342
32438948,10343,"['source_32438948', 'sink_10343']",220.18353742605785,220.18353742605785,2,source_id_32438948,sink_id_10343
32438948,10344,"['source_32438948', 'source_32438941', 'source_32438947', 'source_1897552', 'sink_10344']",656.055895265528,1812.1303805375048,5,source_id_32438948,sink_id_10344
32438948,10345,"['source_32438948', 'sink_10345']",231.95871514840292,231.95871514840292,2,source_id_32438948,sink_id_10345
42546767,10340,"['source_42546767', 'source_42546766', 'sink_10340']",437.1750258049158,853.7162430577026,3,source_id_42546767,sink_id_10340
42546767,10341,"['source_42546767', 'source_42546766', 'sink_10341']",437.1750258049158,853.7162430577026,3,source_id_42546767,sink_id_10341
42546767,10342,"['source_42546767', 'source_42546766', 'sink_10342']",437.1750258049158,853.7162430577026,3,source_id_42546767,sink_id_10342
42546767,10343,"['source_42546767', 'source_42546766', 'sink_10343']",437.1750258049158,853.7162430577026,3,source_id_42546767,sink_id_10343
42546767,10344,"['source_42546767', 'source_42546766', 'sink_10344']",191.35006396143493,362.0663193707409,3,source_id_42546767,sink_id_10344
42546767,10345,"['source_42546767', 'source_42546766', 'sink_10340', 'sink_10345']",445.7793679955504,879.5292696296065,4,source_id_42546767,sink_id_10345
42546766,10340,"['source_42546766', 'source_42546767', 'sink_10340']",440.5572528431477,860.4806971341665,3,source_id_42546766,sink_id_10340
42546766,10341,"['source_42546766', 'source_42546767', 'sink_10341']",440.5572528431477,860.4806971341665,3,source_id_42546766,sink_id_10341
42546766,10342,"['source_42546766', 'source_42546767', 'sink_10342']",440.5572528431477,860.4806971341665,3,source_id_42546766,sink_id_10342
42546766,10343,"['source_42546766', 'source_42546767', 'sink_10343']",440.5572528431477,860.4806971341665,3,source_id_42546766,sink_id_10343
42546766,10344,"['source_42546766', 'source_42546767', 'sink_10344']",201.16671992892313,381.69963130571733,3,source_id_42546766,sink_id_10344
42546766,10345,"['source_42546766', 'source_42546767', 'sink_10340', 'sink_10345']",449.1615950337823,886.2937237060703,4,source_id_42546766,sink_id_10345
42546768,10340,"['source_42546768', 'source_32438941', 'source_32438944', 'sink_10340']",137.4102358345242,379.3997894011759,4,source_id_42546768,sink_id_10340
42546768,10341,"['source_42546768', 'source_32438941', 'source_32438944', 'sink_10341']",137.4102358345242,379.3997894011759,4,source_id_42546768,sink_id_10341
42546768,10342,"['source_42546768', 'source_32438941', 'source_32438944', 'sink_10342']",137.4102358345242,379.3997894011759,4,source_id_42546768,sink_id_10342
42546768,10343,"['source_42546768', 'source_32438941', 'source_32438944', 'sink_10343']",137.4102358345242,379.3997894011759,4,source_id_42546768,sink_id_10343
42546768,10344,"['source_42546768', 'source_32438941', 'source_32438944', 'source_32438946', 'source_1897551', 'sink_10344']",322.16779716577526,1396.9073405549066,6,source_id_42546768,sink_id_10344
42546768,10345,"['source_42546768', 'source_32438941', 'source_32438944', 'sink_10345']",135.00099941095147,372.17208013045763,4,source_id_42546768,sink_id_10345
