id,name,emission,lat,lon
447853,Mae Moh power station,12995000.0,18.296,99.752
447850,BANG PAKONG,10864700.0,13.501,101.0253
447857,Ratchaburi (RATCHGEN) power station,7380500.0,13.6023,99.8872
25452624,Map Ta Phut BLCP power station,4987400.0,12.6435,101.1605
447858,SOUTH BANGKOK,3902500.0,13.617,100.559
25454349,Gheco One power station,3292400.0,12.6747,101.1347
447861,WANG NOI,3118800.0,14.2324,100.7805
4401888,GLOW SPP PHASE 3-5,2710200.0,12.6758,101.1352
447856,NORTH BANGKOK,2105600.0,13.8129,100.5092
447859,CHANA,2091300.0,6.9553,100.7076
25455740,Chonburi Ng Project power station,2014900.0,13.05,101.1933
450779,KAENG KHOI-2,1738400.0,14.605,101.0259
451239,NONG SAENG,1664500.0,14.4417,100.7756
451238,U-THAI,1664500.0,14.3322,100.6958
25453172,Tha Tum power station,1636300.0,13.9325,101.5876
447929,KHANOM,1574700.0,9.2357,99.8593
25450315,Glow IPP power station,1151040.0,13.0536,101.0857
449510,MUANG COGEN,860840.0,12.6554,101.3118
25450651,Krabi power station,812410.0,7.9929,99.0494
447854,NAM PHONG,799970.0,16.682,102.7422
447416,AMATA NAKORN,778980.0,13.4191,101.0272
448291,SRIRACHA IPT,770460.0,13.1128,100.9085
25455501,TPI Power power station,748330.0,14.6453,101.1254
451357,AMATA CITY,662300.0,12.9356,101.0975
25452702,Bang Bo power station,564170.0,13.492,100.8416
25451098,Glow SPP 1 power station,399770.0,13.0005,101.1366
452727,RAYONG CUP-1,363660.0,12.7014,101.1258
449124,ROJANA,354140.0,14.3324,100.6382
25452857,RAYONG GAS PLANT,347540.0,12.7609,101.154
450184,GLOW SPP PHASE 2,347270.0,12.694,101.1452
452278,BANGPA-IN COGEN,333120.0,14.1973,100.5872
452572,GULF TS1,332620.0,13.0171,101.1952
453006,Koh Khanun power station,316730.0,13.6934,101.418
452148,PLUAK DAENG,314180.0,13.0074,101.137
449507,WANG SALA MILL,300310.0,13.9409,99.7063
450622,TOP SPP SRIRACHA,296110.0,13.105,100.899
452578,Gulf NPM power station,285610.0,14.3665,100.8364
25450655,NONG CHOK,275330.0,13.8129,100.8076
25452361,TPT Petrochemical power station,274390.0,12.6838,101.1471
452439,MUANG COGEN-II,264920.0,12.6754,101.3257
452438,BANGPOO COGEN,264920.0,13.539,100.6371
452579,GULF GNRV2,264920.0,14.9291,102.1768
449790,SAHA PATANA,264270.0,13.0988,100.9606
452573,GULF TS3,263170.0,13.0652,101.1864
451653,SARABURI KP1,263170.0,14.3875,100.9092
25450652,LAN KRABUE,249370.0,16.6308,99.8705
448215,HSFC EAKACHAI,247420.0,13.75,100.4667
25451455,PTT OLEFINS,236210.0,12.7015,101.1386
451859,RATCH WORLD COGEN,231800.0,13.6509,99.8468
25452309,SRIRACHA REFINERY TOC,228960.0,13.1084,100.8987
449509,TOC REFINERY,220330.0,13.1104,100.9049
452997,BERKPRAI COGEN,214150.0,13.8394,99.8562
25454933,BANPONG SK COGEN,212780.0,13.8588,99.8557
25455470,RAYONG AMATA-3 (ABPR3),209540.0,12.9355,101.0977
25455471,RAYONG AMATA-5 (ABPR5),209540.0,12.9818,101.107
452301,SIAM PURE RICE,193440.0,14.695,100.4587
449246,SIPCO-I RAYONG,182840.0,12.7906,101.2455
447370,National Power Plant 4 power station,173050.0,13.7079,101.4723
452571,GULF VTP,166300.0,13.004,101.1725
452576,GULF GBP,166300.0,14.2532,100.6032
451631,RATCH COGEN,154940.0,14.0878,100.6018
452126,BANPONG TP COGEN,145370.0,13.8589,99.8558
450275,SBIA COGEN,142910.0,13.7137,100.7594
451459,AMATA BANGKADI,135963.0,13.9746,100.5649
452269,BPWHA1,132443.0,13.0647,101.0923
452574,GULF GNC,132443.0,14.0326,101.7119
452575,GULF GBL,132443.0,14.2523,100.5878
25455109,GULF GNK2,132443.0,14.368,100.8357
25455387,GULF NLL2,132443.0,12.8294,101.2531
453044,ANGTHONG POWER-1,132443.0,14.6931,100.4613
452437,LAT KRABANG,132443.0,13.7598,100.7891
451866,KLONGLUANG TJ COGEN,132443.0,14.0222,100.6147
451655,RAYONG NLL,132443.0,12.8256,101.2487
451654,SARABURI TLC,131580.0,14.5585,100.9646
451656,SARABURI NK2,131580.0,14.3681,100.8358
451657,CHACHOENGSAO NKK,131580.0,13.7361,101.0163
451658,PATHUM THANI CRN,131580.0,14.0977,100.5726
449835,RAYONG TLP,126099.0,12.7941,101.1993
452728,RAYONG CUP-2,125829.0,12.7547,101.1637
449902,NONG KHAE,124024.0,14.3789,100.8371
25452997,SAMUTPRAKARN,124024.0,13.5384,100.6372
447469,MAP TA PHUT BKK,107634.0,12.7063,101.1514
25455511,LAEM CHABANG-2,66230.0,13.0922,100.8946
25455728,RAYONG CUP-4.1,62131.0,12.7056,101.1002
