,,path,adjusted_distance,actual_distance,hop_count,source_id,sink_id
3144135,10783,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10783']",84.41517479318605,273.1906705211628,6,source_id_3144135,sink_id_10783
3144135,10784,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10784']",101.52836578300682,336.51312400346296,5,source_id_3144135,sink_id_10784
3144135,10785,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10785']",105.12042785273869,350.88137228239043,5,source_id_3144135,sink_id_10785
3144135,10786,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10786']",106.11318254256665,354.8523910417023,5,source_id_3144135,sink_id_10786
3144135,10787,"['source_3144135', 'source_3144138', 'source_712647', 'sink_10817', 'source_1753807', 'sink_10787']",120.39976274436843,483.0075875224359,6,source_id_3144135,sink_id_10787
3144135,10788,"['source_3144135', 'source_3144138', 'source_712647', 'sink_10817', 'source_1753807', 'sink_10794', 'sink_10790', 'sink_10788']",158.76394348110986,816.2902232589063,8,source_id_3144135,sink_id_10788
3144135,10789,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803', 'sink_10804', 'sink_10805', 'sink_10806', 'sink_10816', 'sink_10808', 'sink_10809', 'sink_10789']",118.53838395583207,617.5286201086845,16,source_id_3144135,sink_id_10789
3144135,10790,"['source_3144135', 'source_3144138', 'source_712647', 'sink_10817', 'source_1753807', 'sink_10794', 'sink_10790']",106.54633409484305,450.76695755503863,7,source_id_3144135,sink_id_10790
3144135,10791,"['source_3144135', 'source_3144138', 'source_712647', 'sink_10817', 'source_1753807', 'sink_10794', 'sink_10791']",137.8965253332574,638.8681049855247,7,source_id_3144135,sink_id_10791
3144135,10792,"['source_3144135', 'source_3144138', 'source_712647', 'sink_10817', 'source_1753807', 'sink_10787', 'sink_10792']",135.4682616374793,573.4185808811011,7,source_id_3144135,sink_id_10792
3144135,10793,"['source_3144135', 'source_3144138', 'source_712647', 'sink_10817', 'source_1753807', 'sink_10793']",71.58559458627258,238.93674673195667,6,source_id_3144135,sink_id_10793
3144135,10794,"['source_3144135', 'source_3144138', 'source_712647', 'sink_10817', 'source_1753807', 'sink_10794']",69.5198208146135,228.60787787366127,6,source_id_3144135,sink_id_10794
3144135,10795,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795']",59.13797383182322,166.95155619872858,4,source_id_3144135,sink_id_10795
3144135,10796,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10796']",60.89800688964572,172.2316553721961,4,source_id_3144135,sink_id_10796
3144135,10797,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10797']",99.35532685184451,327.8209682788138,5,source_id_3144135,sink_id_10797
3144135,10798,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798']",79.28486431620314,247.53911813624825,5,source_id_3144135,sink_id_10798
3144135,10799,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10799']",84.63364419145427,274.28301751250393,6,source_id_3144135,sink_id_10799
3144135,10800,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10800']",84.79833637295845,275.1064784200248,6,source_id_3144135,sink_id_10800
3144135,10801,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801']",94.22531218735818,331.83302548792744,7,source_id_3144135,sink_id_10801
3144135,10802,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802']",96.34125116970799,346.64459836437607,8,source_id_3144135,sink_id_10802
3144135,10803,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803']",98.29934620311465,362.3093586316294,9,source_id_3144135,sink_id_10803
3144135,10804,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803', 'sink_10804']",100.54947274641663,382.5604975213471,10,source_id_3144135,sink_id_10804
3144135,10805,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803', 'sink_10804', 'sink_10805']",104.07484106933664,417.8141807505472,11,source_id_3144135,sink_id_10805
3144135,10806,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803', 'sink_10804', 'sink_10805', 'sink_10806']",105.04989939590457,428.5398223427944,12,source_id_3144135,sink_id_10806
3144135,10807,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803', 'sink_10804', 'sink_10805', 'sink_10807']",105.82191742222001,437.0320206322643,12,source_id_3144135,sink_id_10807
3144135,10808,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803', 'sink_10804', 'sink_10805', 'sink_10806', 'sink_10816', 'sink_10808']",109.25621275114247,480.95334982129424,14,source_id_3144135,sink_id_10808
3144135,10809,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803', 'sink_10804', 'sink_10805', 'sink_10806', 'sink_10816', 'sink_10808', 'sink_10809']",111.91351053409628,518.1555187826475,15,source_id_3144135,sink_id_10809
3144135,10810,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803', 'sink_10804', 'sink_10805', 'sink_10806', 'sink_10816', 'sink_10808', 'sink_10810']",113.40642088791628,539.0562637361277,15,source_id_3144135,sink_id_10810
3144135,10811,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803', 'sink_10804', 'sink_10805', 'sink_10806', 'sink_10816', 'sink_10808', 'sink_10810', 'sink_10811']",117.812899060211,605.1534363205483,16,source_id_3144135,sink_id_10811
3144135,10812,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803', 'sink_10804', 'sink_10805', 'sink_10806', 'sink_10816', 'sink_10808', 'sink_10810', 'sink_10811', 'sink_10812']",120.40171914005143,646.5745575979952,17,source_id_3144135,sink_id_10812
3144135,10813,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803', 'sink_10804', 'sink_10805', 'sink_10806', 'sink_10816', 'sink_10808', 'sink_10810', 'sink_10811', 'sink_10813']",121.78944412724887,668.7781573931543,17,source_id_3144135,sink_id_10813
3144135,10814,"['source_3144135', 'source_3144138', 'source_1753941', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803', 'sink_10804', 'sink_10805', 'sink_10806', 'sink_10816', 'sink_10808', 'sink_10809', 'sink_10815', 'sink_10814']",120.65506031123412,651.2783182337549,17,source_id_3144135,sink_id_10814
