,,path,adjusted_distance,actual_distance,hop_count,source_id,sink_id
1897831,10783,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10817', 'sink_10795', 'sink_10798', 'sink_10783']",113.9453108135666,515.7271415063869,8,source_id_1897831,sink_id_10783
1897831,10784,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10794', 'sink_10793', 'sink_10797', 'sink_10784']",117.34348396057547,595.2109939985993,8,source_id_1897831,sink_id_10784
1897831,10785,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10794', 'sink_10793', 'sink_10797', 'sink_10784', 'sink_10785']",120.10104509379423,617.2714830643494,9,source_id_1897831,sink_id_10785
1897831,10786,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10794', 'sink_10793', 'sink_10797', 'sink_10784', 'sink_10785', 'sink_10786']",120.73602118812224,622.9862679133015,10,source_id_1897831,sink_id_10786
1897831,10787,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10787']",75.57001688909847,275.8299886962071,5,source_id_1897831,sink_id_10787
1897831,10788,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'source_32439152', 'sink_10790', 'source_32439154', 'sink_10788']",120.58242172463304,620.3029765734095,8,source_id_1897831,sink_id_10788
1897831,10789,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10817', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803', 'sink_10805', 'sink_10806', 'sink_10816', 'sink_10808', 'sink_10809', 'sink_10789']",142.85146796080596,858.0861092044325,17,source_id_1897831,sink_id_10789
1897831,10790,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'source_32439152', 'sink_10790']",62.48515215614326,252.54599759319416,6,source_id_1897831,sink_id_10790
1897831,10791,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10791']",98.15599286824427,366.1738926127903,5,source_id_1897831,sink_id_10791
1897831,10792,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10787', 'sink_10792']",93.65221556083151,366.24098205487235,6,source_id_1897831,sink_id_10792
1897831,10793,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10794', 'sink_10793']",50.63994726162073,191.78104762980456,6,source_id_1897831,sink_id_10793
1897831,10794,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10794']",34.96860981811237,113.42436041226271,5,source_id_1897831,sink_id_10794
1897831,10795,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10817', 'sink_10795']",96.84954300708745,409.4880271839527,6,source_id_1897831,sink_id_10795
1897831,10796,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10817', 'sink_10796']",98.46315726680837,417.5560984825573,6,source_id_1897831,sink_id_10796
1897831,10797,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10794', 'sink_10793', 'sink_10797']",114.13475778550915,572.7499107731351,7,source_id_1897831,sink_id_10797
1897831,10798,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10817', 'sink_10795', 'sink_10798']",110.28080333000739,490.0755891214724,7,source_id_1897831,sink_id_10798
1897831,10799,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10817', 'sink_10795', 'sink_10798', 'sink_10799']",114.10136038375819,516.819488497728,8,source_id_1897831,sink_id_10799
1897831,10800,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10817', 'sink_10795', 'sink_10798', 'sink_10800']",114.21899765626118,517.6429494052489,8,source_id_1897831,sink_id_10800
1897831,10801,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10817', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801']",121.29511138068614,574.3694964731516,9,source_id_1897831,sink_id_10801
1897831,10802,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10817', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802']",122.94084170029154,589.1810693496002,10,source_id_1897831,sink_id_10802
1897831,10803,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10817', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803']",124.50731772701687,604.8458296168535,11,source_id_1897831,sink_id_10803
1897831,10804,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10817', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10804']",126.33459423520681,623.1185946987528,11,source_id_1897831,sink_id_10804
1897831,10805,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10817', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803', 'sink_10805']",129.37330320242066,658.3716698462953,12,source_id_1897831,sink_id_10805
1897831,10806,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10817', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803', 'sink_10805', 'sink_10806']",130.26710666844127,669.0973114385425,13,source_id_1897831,sink_id_10806
1897831,10807,"['source_1897831', 'source_1897832', 'source_32439153', 'source_1897823', 'sink_10817', 'sink_10795', 'sink_10798', 'sink_10799', 'sink_10801', 'sink_10802', 'sink_10803', 'sink_10805', 'sink_10807']",130.9747898592304,677.5895097280123,13,source_id_1897831,sink_id_10807
