id,name,emission,lat,lon
25454003,Duyen Hai Power Generation Complex,21144000.0,9.5835,106.5268
25453850,Vinh Tan power station,20497000.0,11.317,108.808
25453844,Mong Duong power station,11204400.0,21.0732,107.3485
25454238,Thai Binh Power Center,8693300.0,20.4819,106.5619
718471,Van Phong power station,6915800.0,12.4711,109.2883
25454585,Nghi Son coal power station,6053100.0,19.3158,105.8003
25454246,Hai Duong Thermal Power Plant,5795400.0,21.0335,106.4122
25453855,Vung Ang power station,5795400.0,18.0979,106.3812
25453146,Hai Phong Thermal Power Station,5795400.0,20.9418,106.759
25451662,Pha Lai Power Complex,5022800.0,21.1169,106.3072
25451625,Quang Ninh power station,3791500.0,21.0118,107.1288
25454319,Song Hau Thermal Power Plant,3666900.0,9.9527,105.8607
25453145,Cam Pha power station,3284200.0,21.0063,107.358
448860,Uong Bi power station,3042600.0,21.039,106.786
25454671,Thang Long power station,2897700.0,21.0218,107.0482
450569,Ha Tinh Formosa Plastics Steel Complex power station,2640800.0,18.0288,106.4455
25455971,Nhon Trach Formosa power station,2173300.0,10.7322,106.9355
25453886,Mao Khe power station,2125000.0,21.0907,106.5773
450340,Ca Mau power station,1500300.0,9.242,105.06
449760,Phu My 2.1 Thermal power station,1454800.0,10.6041,107.04
25455896,HOA PHAT DUNG QUAT,1400400.0,15.3813,108.7901
450913,Nhon Trach power station,1200020.0,10.6428,106.84
448863,Phu My 1 Thermal power station,1081620.0,10.6056,107.0345
25453434,Son Dong power station,1062500.0,21.1793,106.7801
25451661,Ninh Binh power station,1062500.0,20.2546,105.9883
447593,Hiep Phuoc power station,855330.0,10.6417,106.7456
449761,Phu My 3 Thermal power station,720090.0,10.5975,107.0352
450274,Phu My 2.2 Thermal power station,693800.0,10.603,107.04
25452804,Cao Ngan power station,555380.0,21.613,105.8151
25452803,Na Duong power station,482940.0,21.6981,106.9759
25454890,An Khanh power station,482940.0,21.5969,105.7666
449762,Phu My 4 Thermal power station,437300.0,10.604,107.037
25451665,Can Tho,313730.0,10.0994,105.7181
717023,Vedan Vietnam Cogeneration power station,289770.0,10.6608,107.0245
25457264,Hau Giang Lee & Man power station,241480.0,9.9448,105.8745
448861,Ba Ria power station,194720.0,10.489,107.1665
25453513,Nong Son power station,144900.0,15.7163,108.031
25452701,O Mon Power Complex,79911.0,10.1349,105.6693
25451667,Thu Duc,33708.0,10.8284,106.76
25454084,Cai Lan,4722.2,20.9861,107.03
25450205,Amata,1549.9,10.9471,106.9
